,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
electricity (BTU),1.26E+15,7.89E+13,8.06E+13,9.56E+13,9.98E+13,1.18E+14,1.04E+14,1.10E+14,1.15E+14,1.20E+14,1.25E+14,1.31E+14,1.36E+14,1.41E+14,1.45E+14,1.50E+14,1.54E+14,1.59E+14,1.63E+14,1.67E+14,1.72E+14,1.76E+14,1.80E+14,1.83E+14,1.87E+14,1.90E+14,1.93E+14,1.96E+14,1.99E+14,2.02E+14,2.05E+14,2.07E+14,2.10E+14,2.12E+14,2.14E+14,2.16E+14,2.17E+14,2.19E+14,2.20E+14,2.21E+14,2.22E+14,2.23E+14,2.23E+14
coal (BTU),0.00E+00,7.55E+13,7.42E+13,8.08E+13,8.08E+13,9.31E+13,9.51E+13,9.79E+13,1.00E+14,1.03E+14,1.05E+14,1.08E+14,1.10E+14,1.13E+14,1.16E+14,1.18E+14,1.21E+14,1.24E+14,1.25E+14,1.26E+14,1.28E+14,1.29E+14,1.30E+14,1.30E+14,1.31E+14,1.31E+14,1.31E+14,1.31E+14,1.32E+14,1.32E+14,1.32E+14,1.32E+14,1.32E+14,1.31E+14,1.30E+14,1.29E+14,1.28E+14,1.27E+14,1.26E+14,1.25E+14,1.24E+14,1.23E+14,1.22E+14
natural gas (BTU),1.07E+15,5.04E+14,4.95E+14,5.39E+14,5.39E+14,6.21E+14,6.34E+14,6.53E+14,6.69E+14,6.86E+14,7.02E+14,7.20E+14,7.37E+14,7.54E+14,7.72E+14,7.90E+14,8.09E+14,8.27E+14,8.35E+14,8.43E+14,8.51E+14,8.59E+14,8.67E+14,8.69E+14,8.71E+14,8.73E+14,8.75E+14,8.77E+14,8.78E+14,8.78E+14,8.79E+14,8.79E+14,8.79E+14,8.73E+14,8.67E+14,8.61E+14,8.55E+14,8.49E+14,8.41E+14,8.34E+14,8.27E+14,8.19E+14,8.12E+14
petroleum diesel (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
heat (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
biomass (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
kerosene (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
heavy or residual fuel oil (BTU),0.00E+00,3.25E+12,3.19E+12,3.47E+12,3.47E+12,4.00E+12,4.09E+12,4.21E+12,4.31E+12,4.42E+12,4.52E+12,4.64E+12,4.75E+12,4.86E+12,4.97E+12,5.09E+12,5.21E+12,5.33E+12,5.38E+12,5.43E+12,5.48E+12,5.53E+12,5.58E+12,5.60E+12,5.61E+12,5.62E+12,5.64E+12,5.65E+12,5.65E+12,5.66E+12,5.66E+12,5.66E+12,5.66E+12,5.62E+12,5.59E+12,5.55E+12,5.51E+12,5.47E+12,5.42E+12,5.37E+12,5.32E+12,5.28E+12,5.23E+12
LPG propane or butane (BTU),0.00E+00,1.64E+14,1.61E+14,1.75E+14,1.75E+14,2.02E+14,2.06E+14,2.12E+14,2.18E+14,2.23E+14,2.28E+14,2.34E+14,2.40E+14,2.45E+14,2.51E+14,2.57E+14,2.63E+14,2.69E+14,2.71E+14,2.74E+14,2.77E+14,2.79E+14,2.82E+14,2.82E+14,2.83E+14,2.84E+14,2.84E+14,2.85E+14,2.85E+14,2.85E+14,2.86E+14,2.86E+14,2.86E+14,2.84E+14,2.82E+14,2.80E+14,2.78E+14,2.76E+14,2.73E+14,2.71E+14,2.69E+14,2.66E+14,2.64E+14
hydrogen(BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
