,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
electricity (BTU),0.00E+00,1.30E+14,1.33E+14,1.59E+14,1.63E+14,1.87E+14,1.86E+14,1.85E+14,1.92E+14,1.99E+14,2.05E+14,2.11E+14,2.17E+14,2.22E+14,2.27E+14,2.31E+14,2.35E+14,2.54E+14,2.60E+14,2.66E+14,2.73E+14,2.81E+14,2.88E+14,2.95E+14,3.02E+14,3.08E+14,3.14E+14,3.20E+14,3.25E+14,3.30E+14,3.35E+14,3.40E+14,3.44E+14,3.48E+14,3.51E+14,3.54E+14,3.56E+14,3.58E+14,3.60E+14,3.61E+14,3.62E+14,3.63E+14,3.63E+14
coal (BTU),4.29E+14,9.17E+14,8.48E+14,6.80E+14,6.11E+14,6.54E+14,6.67E+14,6.87E+14,7.04E+14,7.21E+14,7.39E+14,7.57E+14,7.75E+14,7.94E+14,8.12E+14,8.31E+14,8.51E+14,8.70E+14,8.79E+14,8.87E+14,8.95E+14,9.03E+14,9.12E+14,9.14E+14,9.16E+14,9.18E+14,9.20E+14,9.23E+14,9.23E+14,9.24E+14,9.24E+14,9.25E+14,9.25E+14,9.18E+14,9.12E+14,9.06E+14,8.99E+14,8.93E+14,8.85E+14,8.77E+14,8.70E+14,8.62E+14,8.54E+14
natural gas (BTU),0.00E+00,5.66E+14,5.98E+14,6.32E+14,6.08E+14,6.38E+14,6.52E+14,6.71E+14,6.88E+14,7.04E+14,7.22E+14,7.39E+14,7.57E+14,7.75E+14,7.93E+14,8.12E+14,8.31E+14,8.50E+14,8.58E+14,8.66E+14,8.74E+14,8.82E+14,8.91E+14,8.93E+14,8.95E+14,8.97E+14,8.99E+14,9.01E+14,9.02E+14,9.02E+14,9.03E+14,9.03E+14,9.03E+14,8.97E+14,8.91E+14,8.84E+14,8.78E+14,8.72E+14,8.64E+14,8.57E+14,8.49E+14,8.42E+14,8.34E+14
petroleum diesel (BTU),1.92E+14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
heat (BTU),5.00E+14,9.12E+14,9.57E+14,9.96E+14,9.98E+14,1.01E+15,1.03E+15,1.05E+15,1.07E+15,1.09E+15,1.11E+15,1.13E+15,1.16E+15,1.18E+15,1.20E+15,1.22E+15,1.24E+15,1.26E+15,1.27E+15,1.28E+15,1.29E+15,1.30E+15,1.31E+15,1.31E+15,1.31E+15,1.31E+15,1.31E+15,1.31E+15,1.31E+15,1.31E+15,1.31E+15,1.30E+15,1.30E+15,1.29E+15,1.28E+15,1.27E+15,1.26E+15,1.24E+15,1.23E+15,1.22E+15,1.20E+15,1.19E+15,1.18E+15
biomass (BTU),6.45E+12,5.07E+14,4.30E+14,3.49E+14,2.02E+14,2.08E+14,2.12E+14,2.18E+14,2.24E+14,2.29E+14,2.35E+14,2.40E+14,2.46E+14,2.52E+14,2.58E+14,2.64E+14,2.70E+14,2.76E+14,2.79E+14,2.82E+14,2.84E+14,2.87E+14,2.90E+14,2.90E+14,2.91E+14,2.92E+14,2.92E+14,2.93E+14,2.93E+14,2.93E+14,2.93E+14,2.94E+14,2.94E+14,2.92E+14,2.90E+14,2.88E+14,2.86E+14,2.83E+14,2.81E+14,2.79E+14,2.76E+14,2.74E+14,2.71E+14
kerosene (BTU),1.76E+12,8.15E+13,8.23E+13,8.73E+13,9.10E+13,6.96E+13,7.11E+13,7.32E+13,7.50E+13,7.68E+13,7.87E+13,8.06E+13,8.26E+13,8.45E+13,8.65E+13,8.85E+13,9.06E+13,9.27E+13,9.36E+13,9.45E+13,9.54E+13,9.62E+13,9.71E+13,9.74E+13,9.76E+13,9.78E+13,9.80E+13,9.83E+13,9.83E+13,9.84E+13,9.84E+13,9.85E+13,9.85E+13,9.78E+13,9.72E+13,9.65E+13,9.58E+13,9.51E+13,9.43E+13,9.34E+13,9.26E+13,9.18E+13,9.10E+13
heavy or residual fuel oil (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
LPG propane or butane (BTU),0.00E+00,1.85E+12,1.90E+12,2.05E+12,2.13E+12,2.09E+12,2.13E+12,2.20E+12,2.25E+12,2.31E+12,2.36E+12,2.42E+12,2.48E+12,2.54E+12,2.60E+12,2.66E+12,2.72E+12,2.78E+12,2.81E+12,2.84E+12,2.86E+12,2.89E+12,2.92E+12,2.92E+12,2.93E+12,2.94E+12,2.94E+12,2.95E+12,2.95E+12,2.95E+12,2.96E+12,2.96E+12,2.96E+12,2.94E+12,2.92E+12,2.90E+12,2.88E+12,2.85E+12,2.83E+12,2.81E+12,2.78E+12,2.76E+12,2.73E+12
hydrogen(BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
