,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
electricity (BTU),4.12E+14,3.05E+13,3.33E+13,3.57E+13,4.18E+13,4.20E+13,3.88E+13,3.92E+13,4.04E+13,4.14E+13,4.25E+13,4.35E+13,4.43E+13,4.50E+13,4.56E+13,4.61E+13,4.65E+13,4.68E+13,4.73E+13,4.78E+13,4.82E+13,4.85E+13,4.88E+13,4.92E+13,4.95E+13,4.97E+13,4.99E+13,5.01E+13,5.02E+13,5.02E+13,5.02E+13,5.02E+13,5.01E+13,5.00E+13,4.98E+13,4.95E+13,4.93E+13,4.90E+13,4.86E+13,4.82E+13,4.78E+13,4.73E+13,4.68E+13
coal (BTU),9.91E+14,8.49E+14,8.41E+14,8.02E+14,7.49E+14,5.64E+14,5.59E+14,5.53E+14,5.48E+14,5.44E+14,5.39E+14,5.34E+14,5.30E+14,5.23E+14,5.17E+14,5.10E+14,5.03E+14,4.96E+14,4.86E+14,4.75E+14,4.64E+14,4.53E+14,4.42E+14,4.32E+14,4.22E+14,4.12E+14,4.02E+14,3.92E+14,3.81E+14,3.71E+14,3.61E+14,3.51E+14,3.40E+14,3.38E+14,3.35E+14,3.33E+14,3.30E+14,3.28E+14,3.25E+14,3.22E+14,3.19E+14,3.16E+14,3.13E+14
natural gas (BTU),2.09E+14,9.50E+12,1.22E+13,1.65E+13,1.90E+13,2.01E+13,1.99E+13,1.97E+13,1.95E+13,1.94E+13,1.92E+13,1.90E+13,1.89E+13,1.86E+13,1.84E+13,1.82E+13,1.79E+13,1.77E+13,1.73E+13,1.69E+13,1.65E+13,1.61E+13,1.57E+13,1.54E+13,1.50E+13,1.47E+13,1.43E+13,1.40E+13,1.36E+13,1.32E+13,1.28E+13,1.25E+13,1.21E+13,1.20E+13,1.19E+13,1.19E+13,1.18E+13,1.17E+13,1.16E+13,1.15E+13,1.14E+13,1.13E+13,1.12E+13
petroleum diesel (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
heat (BTU),7.79E+13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
biomass (BTU),4.63E+13,2.70E+14,2.48E+14,2.54E+14,1.34E+14,1.10E+14,1.09E+14,1.07E+14,1.07E+14,1.06E+14,1.05E+14,1.04E+14,1.03E+14,1.02E+14,1.00E+14,9.92E+13,9.79E+13,9.65E+13,9.44E+13,9.23E+13,9.02E+13,8.80E+13,8.59E+13,8.39E+13,8.20E+13,8.00E+13,7.81E+13,7.62E+13,7.42E+13,7.21E+13,7.01E+13,6.82E+13,6.62E+13,6.57E+13,6.52E+13,6.47E+13,6.43E+13,6.38E+13,6.32E+13,6.26E+13,6.20E+13,6.15E+13,6.09E+13
kerosene (BTU),0.00E+00,9.42E+12,4.92E+12,1.02E+12,7.59E+11,7.89E+11,7.81E+11,7.72E+11,7.66E+11,7.60E+11,7.54E+11,7.47E+11,7.40E+11,7.31E+11,7.22E+11,7.13E+11,7.04E+11,6.94E+11,6.78E+11,6.63E+11,6.48E+11,6.33E+11,6.17E+11,6.03E+11,5.89E+11,5.75E+11,5.61E+11,5.47E+11,5.33E+11,5.18E+11,5.04E+11,4.90E+11,4.76E+11,4.72E+11,4.69E+11,4.65E+11,4.62E+11,4.58E+11,4.54E+11,4.50E+11,4.46E+11,4.42E+11,4.38E+11
heavy or residual fuel oil (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
LPG propane or butane (BTU),1.07E+14,7.01E+13,7.15E+13,6.50E+13,7.08E+13,6.51E+13,6.45E+13,6.38E+13,6.33E+13,6.27E+13,6.22E+13,6.17E+13,6.11E+13,6.04E+13,5.96E+13,5.89E+13,5.81E+13,5.73E+13,5.60E+13,5.48E+13,5.35E+13,5.22E+13,5.10E+13,4.98E+13,4.86E+13,4.75E+13,4.63E+13,4.52E+13,4.40E+13,4.28E+13,4.16E+13,4.04E+13,3.93E+13,3.90E+13,3.87E+13,3.84E+13,3.81E+13,3.78E+13,3.75E+13,3.71E+13,3.68E+13,3.65E+13,3.61E+13
hydrogen(BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
