,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
electricity (BTU),2.20E+14,6.44E+13,6.78E+13,7.30E+13,8.04E+13,8.11E+13,8.70E+13,9.33E+13,9.79E+13,1.03E+14,1.07E+14,1.12E+14,1.16E+14,1.21E+14,1.25E+14,1.29E+14,1.34E+14,1.38E+14,1.42E+14,1.46E+14,1.50E+14,1.54E+14,1.58E+14,1.62E+14,1.65E+14,1.69E+14,1.72E+14,1.75E+14,1.79E+14,1.82E+14,1.85E+14,1.88E+14,1.91E+14,1.93E+14,1.96E+14,1.98E+14,2.01E+14,2.03E+14,2.05E+14,2.07E+14,2.09E+14,2.10E+14,2.12E+14
coal (BTU),1.73E+14,1.43E+14,1.09E+14,9.74E+13,8.66E+13,7.48E+13,7.22E+13,7.41E+13,7.56E+13,7.72E+13,7.87E+13,8.03E+13,8.19E+13,8.35E+13,8.52E+13,8.68E+13,8.85E+13,9.02E+13,9.10E+13,9.17E+13,9.25E+13,9.33E+13,9.40E+13,9.43E+13,9.45E+13,9.47E+13,9.49E+13,9.51E+13,9.52E+13,9.52E+13,9.53E+13,9.53E+13,9.54E+13,9.47E+13,9.41E+13,9.34E+13,9.27E+13,9.21E+13,9.13E+13,9.05E+13,8.97E+13,8.89E+13,8.81E+13
natural gas (BTU),4.09E+14,3.63E+14,4.04E+14,4.26E+14,4.23E+14,4.51E+14,4.63E+14,4.75E+14,4.85E+14,4.94E+14,5.05E+14,5.15E+14,5.25E+14,5.35E+14,5.46E+14,5.56E+14,5.67E+14,5.78E+14,5.83E+14,5.88E+14,5.93E+14,5.98E+14,6.03E+14,6.04E+14,6.06E+14,6.07E+14,6.08E+14,6.10E+14,6.10E+14,6.10E+14,6.11E+14,6.11E+14,6.11E+14,6.07E+14,6.03E+14,5.99E+14,5.94E+14,5.90E+14,5.85E+14,5.80E+14,5.75E+14,5.70E+14,5.64E+14
petroleum diesel (BTU),3.23E+12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
heat (BTU),1.60E+15,2.74E+15,2.87E+15,2.99E+15,2.99E+15,3.02E+15,3.08E+15,3.16E+15,3.22E+15,3.28E+15,3.34E+15,3.40E+15,3.47E+15,3.53E+15,3.60E+15,3.66E+15,3.73E+15,3.79E+15,3.82E+15,3.85E+15,3.87E+15,3.90E+15,3.93E+15,3.93E+15,3.93E+15,3.93E+15,3.94E+15,3.94E+15,3.93E+15,3.93E+15,3.92E+15,3.91E+15,3.91E+15,3.87E+15,3.84E+15,3.80E+15,3.77E+15,3.73E+15,3.69E+15,3.65E+15,3.61E+15,3.57E+15,3.53E+15
biomass (BTU),1.48E+13,6.72E+13,6.60E+13,4.50E+13,4.11E+13,3.11E+13,3.19E+13,3.27E+13,3.34E+13,3.41E+13,3.48E+13,3.55E+13,3.62E+13,3.69E+13,3.76E+13,3.84E+13,3.91E+13,3.99E+13,4.02E+13,4.05E+13,4.09E+13,4.12E+13,4.16E+13,4.17E+13,4.18E+13,4.18E+13,4.19E+13,4.20E+13,4.21E+13,4.21E+13,4.21E+13,4.21E+13,4.21E+13,4.19E+13,4.16E+13,4.13E+13,4.10E+13,4.07E+13,4.03E+13,4.00E+13,3.96E+13,3.93E+13,3.89E+13
kerosene (BTU),9.37E+10,1.47E+11,1.47E+11,1.55E+11,1.27E+11,1.36E+11,1.40E+11,1.43E+11,1.46E+11,1.49E+11,1.52E+11,1.55E+11,1.58E+11,1.62E+11,1.65E+11,1.68E+11,1.71E+11,1.74E+11,1.76E+11,1.77E+11,1.79E+11,1.80E+11,1.82E+11,1.82E+11,1.83E+11,1.83E+11,1.83E+11,1.84E+11,1.84E+11,1.84E+11,1.84E+11,1.84E+11,1.84E+11,1.83E+11,1.82E+11,1.81E+11,1.79E+11,1.78E+11,1.76E+11,1.75E+11,1.73E+11,1.72E+11,1.70E+11
heavy or residual fuel oil (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
LPG propane or butane (BTU),9.13E+13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
hydrogen(BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
total,2.51E+15,3.37E+15,3.52E+15,3.63E+15,3.63E+15,3.66E+15,3.74E+15,3.83E+15,3.91E+15,3.99E+15,4.07E+15,4.15E+15,4.23E+15,4.31E+15,4.39E+15,4.47E+15,4.55E+15,4.64E+15,4.68E+15,4.71E+15,4.75E+15,4.79E+15,4.82E+15,4.83E+15,4.84E+15,4.85E+15,4.85E+15,4.86E+15,4.86E+15,4.86E+15,4.85E+15,4.85E+15,4.85E+15,4.81E+15,4.77E+15,4.73E+15,4.70E+15,4.66E+15,4.61E+15,4.57E+15,4.53E+15,4.48E+15,4.44E+15
