Unit: $/MW,Distributed Solar Soft Costs
2019,166131
2020,162082
2021,154263
2022,146444
2023,138626
2024,130807
2025,122988
2026,115169
2027,107351
2028,99532
2029,91713
2030,83895
2031,82920
2032,81946
2033,80971
2034,79997
2035,79022
2036,78048
2037,77073
2038,76099
2039,75124
2040,74150
2041,73176
2042,72201
2043,71227
2044,70252
2045,69278
2046,68303
2047,67329
2048,66354
2049,65380
2050,64405
2051,63431
2052,62457
2053,61482
2054,60508
2055,59533
2056,58559
2057,57584
2058,56610
2059,55635
2060,54661
