Year,heating,cooling & ventilation,envelope,lighting,appliances,other,,
electricity (BTU),0.00E+00,9.57E+14,0.00E+00,1.49E+15,9.60E+14,6.18E+13,,
coal (BTU),1.37E+15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
natural gas (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.17E+14,,
petroleum diesel (BTU),4.56E+14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
heat (BTU),1.13E+15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
biomass (BTU),1.46E+13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
kerosene (BTU),3.98E+12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
heavy or residual fuel oil (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
LPG propane or butane (BTU),1.69E+14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
hydrogen (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
