Year,heating,cooling & ventilation,envelope,lighting,appliances,other,,
electricity (BTU),7.9782E+13,2.7465E+14,0.0000E+00,1.9483E+14,6.0705E+14,8.3079E+14,,
coal (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.8574E+14,0.0000E+00,,
natural gas (BTU),3.0462E+13,0.0000E+00,0.0000E+00,0.0000E+00,1.3471E+15,0.0000E+00,,
petroleum diesel (BTU),5.0620E+12,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,,
heat (BTU),2.5138E+15,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,,
biomass (BTU),2.3171E+13,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,,
kerosene (BTU),1.4696E+11,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,,
heavy or residual fuel oil (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,,
LPG propane or butane (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.1498E+14,0.0000E+00,,
hydrogen (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,,
