Fraction of Heat Provided by Fuel (dimensionless),2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal,0.860916167,0.855981406,0.851252734,0.859090294,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594,0.861031594
natural gas,0.060755028,0.063585283,0.069720581,0.069429867,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283,0.067296283
biomass,0.013303434,0.013848888,0.02238484,0.024884885,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061,0.02868061
petroleum diesel,0.000289095,0.000275466,0.000137616,0.000136758,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037,0.000117037
heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crude oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heavy or residual fuel oil,0.003969184,0.004171885,0.011361521,0.010126639,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096,0.008765096
LPG propane or butane,0.060767093,0.062137072,0.045142708,0.036331557,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381,0.034109381
hydrogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
