Year,Battery Cost ($/MW)
2019,536837.6442
2020,412952.034
2021,357891.7628
2022,330361.6272
2023,302831.4916
2024,275301.356
2025,247771.2204
2026,240700.7523
2027,233832.0491
2028,227159.3531
2029,220677.071
2030,214379.7691
2031,208262.1687
2032,202319.1418
2033,196545.7069
2034,190937.0242
2035,185488.3925
2036,180195.2445
2037,175053.1431
2038,170057.7782
2039,165204.9624
2040,160490.628
2041,155910.823
2042,151461.7087
2043,147139.5555
2044,142940.7404
2045,138861.7439
2046,134899.1468
2047,131049.6274
2048,127309.959
2049,123677.0068
2050,120147.7256
2051,116719.1569
2052,113388.4267
2053,110152.7432
2054,107009.3941
2055,103955.7444
2056,100989.2346
2057,98107.37783
2058,95307.75857
2059,92588.03002
2060,89945.91239
