Capacity Retirements (MW),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
hard coal,14693,4993,7040,7270,0,0,0,0,0,0,0,4044,13236,25302,43842,61668,71814,77118,78018,72906,66450,61146,55704,55656,52278,49920,49164,48318,43116,38688,35322,36810,37506,45600,46644,43812,36738,30402,14580,9900,8508
natural gas nonpeaker,0,0,0,0,0,0,0,0,0,0,0,0,0,15,65,120,175,175,575,1155,1665,1810,2330,2325,2030,1905,2700,4005,5310,6020,6530,6940,6090,4380,3335,2375,980,0.444,0,0,0
nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,650,0,0,0,0,0,650,1300,650,1300,650,1300,0,650,650,650,650
hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onshore wind,0,0,0,0,0,0,0,0,0,0,0,0,1608,4592,7698,10356,13270,15820,19010,19706,20590,22032,23118,30838,33102,35936,45394,40146,26252,20188,13812,0.931944444,0,0,0,0,0,0,0,0,0
solar pv,0,0,0,0,0,0,0,0,0,0,0,0,0,5,385,614,2923,4626,7305,12981,18872,21902,23676,27213,26267,27307,45978,42502,36281,31170,24012,0,0,0,0,0,0,0,0,0,0
solar thermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,500,900,950,850,900,450,10,0,0,0,0,0,0,0
biomass,0,36,30,30,30,24,30,30,30,126,222,318,420,516,516,510,516,462,438,474,522,534,630,642,636,636,720,810,1164,1488,1548,1596,1362,912,456,234,0,0,0,0,0
geothermal,0,65,50,45,50,45,50,45,50,40,25,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petroleum,0,20,20,25,30,25,30,30,25,30,25,20,15,15,10,5,15,10,15,10,10,5,0,5,4.085694365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natural gas peaker,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,28.5,51.3,75.05,76,246.05,494,715.35,775.2,998.45,995.6,870.2,817,1157.1,1716.65,2274.3,2581.15,2799.65,2972.55,2611.55,3521.65,4326.3,6156,7805.2,12377.55,14821.9,16961.3,18882.2
lignite,0,2635,1880,1880,1885,1880,1885,1880,1885,1635,1390,1140,895,650,650,645,650,830,1080,1195,1375,1370,1120,740,555,245,125,345,680,620,615,620,335,0,0,0,0,0,0,0,0
offshore wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,99,99,264,297,528,957,957,792,693,990,3960,5280,6501,9108,9900,7194,6006,4950,2409,1056,462,330
crude oil,0,5,0,10,5,5,5,10,5,5,5,5,5,5,0,5,0,5,0,5,0,0,0,5,0,0,0,0,3655,6640,6645,6640,6640,2985,2.550263041,0,0,0,0,0,0
heavy or residual fuel oil,0,70,65,80,90,85,90,85,90,90,75,65,50,45,30,30,40,40,30,35,30,15,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
municipal solid waste,0,18,18,12,18,12,18,12,18,114,216,312,414,516,516,516,510,462,438,474,522,540,630,636,636,642,714,810,1320,2448,2862,2994,2760,2154,894,324,0,0,0,0,0
