Imported Electricity (MW*hour),2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
hard coal,1479497.199,1059163.608,634287.8487,583302.6954,797284.2259,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074,1398841.074
natural gas nonpeaker,2388258.191,2173072.147,1949081.676,1730800.788,2201363.093,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787,2010385.787
nuclear,592495.597,541680.078,573289.7438,635201.2221,766200.0735,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371,945007.7371
hydro,1684484.507,1680425.316,1445600.075,1522739.018,1749956.602,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954,2672553.954
onshore wind,436.300145,685.444641,967.5034031,3650.92016,13399.20107,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648,16526.1648
solar PV,6998.112273,7468.502776,9714.69725,11005.0651,15917.80443,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054,12678.3054
solar thermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biomass,21750.34765,19020.83183,21174.81492,16547.9154,21732.04811,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486,30865.38486
geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petroleum,247629.2901,205439.9875,222892.5036,246257.1491,330240.128,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178,48803.19178
natural gas peaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lignite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offshore wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crude oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heavy or residual fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
municipal solid waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
