商品编码,商品名称,年份,贸易方向,第一数量,第一计量单位,第二数量,第二计量单位,人民币,,商品编码,商品名称,年份,贸易方向,第一数量,第一计量单位,第二数量,第二计量单位,人民币,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商品编码,商品名称,年份,贸易方向,第一数量,第一计量单位,第二数量,第二计量单位,人民币
28443000,U235贫化铀、钍及其化合物、合金、分散体等,2018,出口,2,克,0,百万贝可,"42,172",,28445000,核反应堆已耗尽（已辐照）的燃料元件,2017,进口,1087,克,0,?,"153,518",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28443000,U235贫化铀、钍及其化合物、合金、分散体等,2019,出口,30,克,0,百万贝可,"115,518",,28445000,核反应堆已耗尽（已辐照）的燃料元件,2018,进口,1114,克,0,?,"154,668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28443000,U235贫化铀、钍及其化合物、合金、分散体等,2020,出口,100,克,0,百万贝可,"17,918",,28443000,U235贫化铀、钍及其化合物、合金、分散体等,2017,进口,92265,克,21000035,百万贝可,"4,928,941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28443000,铀235贫化铀、钍及其化合物、合金、分散体等,2022,出口,5,克,0,百万贝可,"223,825",,28443000,U235贫化铀、钍及其化合物、合金、分散体等,2018,进口,44430,克,0,百万贝可,"2,011,941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28442000,U235浓缩铀、钚及其化合物、合金、分散体等,2017,出口,8846900,克,647000,百万贝可,"41,027,537",,28443000,U235贫化铀、钍及其化合物、合金、分散体等,2020,进口,33640,克,15,百万贝可,"1,485,189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28442000,U235浓缩铀、钚及其化合物、合金、分散体等,2018,出口,315079508,克,13025010,百万贝可,"1,785,161,775",,28443000,U235贫化铀、钍及其化合物、合金、分散体等,2021,进口,20,克,0,百万贝可,"52,579",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28442000,U235浓缩铀、钚及其化合物、合金、分散体等,2019,出口,132650775,克,9738842,百万贝可,"791,706,424",,28443000,铀235贫化铀、钍及其化合物、合金、分散体等,2022,进口,39650,克,120,百万贝可,"1,457,831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28442000,U235浓缩铀、钚及其化合物、合金、分散体等,2020,出口,219621322,克,10310260,百万贝可,"1,220,470,583",,28442000,U235浓缩铀、钚及其化合物、合金、分散体等,2017,进口,227034599,克,153077528,百万贝可,"1,210,266,631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28442000,U235浓缩铀、钚及其化合物、合金、分散体等,2021,出口,94874081,克,6488301,百万贝可,"418,717,278",,28442000,U235浓缩铀、钚及其化合物、合金、分散体等,2018,进口,395216809,克,57393810,百万贝可,"1,647,670,365",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28442000,铀235浓缩铀、钚及其化合物、合金、分散体等,2022,出口,96556075,克,7084000,百万贝可,"428,391,397",,28442000,U235浓缩铀、钚及其化合物、合金、分散体等,2019,进口,26967297,克,2275366,百万贝可,"173,871,914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
