Unit: dimensionless (priority),production,imports,exports
electricity (not used in this variable),1,3,2
hard coal,1,2,3
natural gas,2,1,3
nuclear,3,1,2
hydro (is not a fuel),0,0,0
wind (is not a fuel),0,0,0
solar (is not a fuel),0,0,0
biomass,1,2,3
petroleum gasoline,1,3,2
petroleum diesel,1,3,2
biofuel gasoline,1,3,2
biofuel diesel,1,3,2
jet fuel or kerosene,1,2,3
heat (not used in this variable),1,2,2
geothermal (is not a fuel),0,0,0
lignite,1,2,3
crude oil,2,1,3
heavy fuel oil,1,2,3
LPG propane or butane,1,2,3
municipal solid waste,1,2,3
hydrogen,1,2,3
