,electricity,coal,natural gas,petroleum diesel,heat,biomass,kerosene,heavy or residual fuel oil,LPG propane or butane,hydrogen
CO2,0,0.093901026,0.058673344,0.076581581,0,0.000000000,0.074306880,0.079993631,0.065208079 ,0
VOC,0,0.000116056,0.000004969,0.000043679,0,0.000000593,0.000012690,0.000003414,0.000003970,0
CO,0,0.002635823,0.000010370,0.000019271,0,0.000009410,0.000090041,0.000015103,0.000003281,0
NOx,0,0.000094749,0.000052147,0.000237674,0,0.000061965,0.000352837,0.000166138,0.000064508,0.000050729
PM10,0,0.000062955,0.000029629,0.000024706,0,0.000001384,0.000004356,0.000033047,0.000003474,0
PM25,0,0.000062955,0.000029629,0.000024706,0,0.000001223,0.000004356,0.000015122,0.000003474,0
SOx,0,0.000752255,0.000000237,0.000049271,0,0.000041977,0.000000501,0.000624378,0.000000000,0
BC,0,0.000037982,0.000000000,0.000002901,0,0.000000169,0.000001373,0.000000959,0.000000573,0
OC,0,0.000083244,0.000000000,0.000001340,0,0.000000399,0.000001310,0.000000665,0.000001487,0
CH4,0,0.000001246,0.000001060,0.000000763,0,0.000009865,0.000003000,0.000003000,0.000003000,0
N2O,0,0.000000857,0.000000350,0.000000918,0,0.000006107,0.000000600,0.000000600,0.000000600,0
F gases,0,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0
