,electricity,natural gas,petroleum gasoline,petroleum diesel,biofuel gasoline,biofuel diesel,jet fuel,heavy or residual fuel oil,LPG propane or butane,hydrogen
CO2,0,0.060349197,0.073115374,0.075858519,0.000000000,0.000000000,0,0.076202464 ,0.066574027 ,0
VOC,0,0.000018577,0.000118358,0.000042815,0.000016719,0.000016719,0,0.000000000,0.000015537 ,0
CO,0,0.000210630,0.000965984,0.000424186,0.000068316,0.000068316,0,0.000000000,0.000031744 ,0
NOx,0,0.000171823,0.000168463,0.000947549,0.000189335,0.000189335,0,0.000000000,0.000175955 ,0
PM10,0,0.000002258,0.000010146,0.000017817,0.000001415,0.000001415,0,0.000000000,0.000000132 ,0
PM25,0,0.000002028,0.000008133,0.000016638,0.000001374,0.000001374,0,0.000000000,0.000000128 ,0
SOx,0,0.000000000,0.000004156,0.000026380,0.000000000,0.000000000,0,0.000000000,0.000000000 ,0
BC,0,0.000000244,0.000002019,0.000009685,0.000000220,0.000000220,0,0.000000000,0.000000020 ,0
OC,0,0.000001008,0.000002019,0.000002159,0.000000907,0.000000907,0,0.000000000,0.000000084 ,0
CH4,0,0.000097065,0.000026376,0.000004115,0.000274315,0.000004115,0,0.000000000,0.000065413 ,0
N2O,0,0.000003165,0.000008440,0.000004115,0.000043257,0.000004115,0,0.000000000,0.000000211 ,0
F gases,0,0.000000000,0.000000000,0.000000000,0,0,0,0.000000000,0.000000000 ,0
