,electricity,natural gas,petroleum gasoline,petroleum diesel,biofuel gasoline,biofuel diesel,jet fuel,heavy or residual fuel oil,LPG propane or butane,hydrogen
CO2,0,0.058673344,0.065680000,0.081900000,0.000000000,0.000000000,0,0.076202464 ,0,0
VOC,0,0.000038268,0.000035936,0.000416957,0.000051895,0.000032285,0,0.000000000 ,0.000044194 ,0
CO,0,0.000509251,0.000306076,0.000650078,0.000628440,0.000782803,0,0.000000000 ,0.000584028 ,0
NOx,0,0.000010370,0.000017259,0.000658734,0.000027904,0.000036662,0,0.000000000 ,0.000025932 ,0
PM10,0,0.000001111,0.000000464,0.000093407,0.000005441,0.000006566,0,0.000000000 ,0.000005056 ,0
PM25,0,0.000001111,0.000000464,0.000084127,0.000002181,0.000002705,0,0.000000000 ,0.000002027 ,0
SOx,0,0.000000269,0.000004154,0.000024156,0.000000324,0.000000443,0,0.000000000 ,0.000000000 ,0
BC,0,0.000000384,0.000000003,0.000046757,0.000000404,0.000000449,0,0.000000000 ,0.000000376 ,0
OC,0,0.000000726,0.000000003,0.000014003,0.000000764,0.000000417,0,0.000000000 ,0.000000710 ,0
CH4,0,0.000097065,0.000004115,0.000004115,0.000002009,0.000028976,0,0.000000000 ,0.000065413 ,0
N2O,0,0.000003165,0.000004115,0.000004115,0.000001771,0.000028976,0,0.000000000 ,0.000000211 ,0
F gases,0,0.000000000,0.000000000,0.000000000,0,0,0,0.000000000 ,0.000000000 ,0
