Unit:BTU,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,3.72E+12,3.08E+12,3.12E+12,3.23E+12,3.36E+12,3.51E+12,3.59E+12,3.80E+12,3.94E+12,4.07E+12,4.20E+12,4.38E+12,4.42E+12,4.53E+12,4.62E+12,4.71E+12,4.76E+12,4.87E+12,4.95E+12,5.02E+12,5.08E+12,5.14E+12,5.19E+12,5.23E+12,5.26E+12,5.29E+12,5.31E+12,5.32E+12,5.34E+12,5.34E+12,5.34E+12,5.34E+12,5.34E+12,5.33E+12,5.32E+12,5.31E+12,5.30E+12,5.29E+12,5.28E+12,5.27E+12,5.26E+12,5.23E+12
coal mining 05,9.43E+13,7.94E+13,8.36E+13,9.19E+13,9.37E+13,9.55E+13,9.73E+13,9.85E+13,9.96E+13,1.01E+14,1.02E+14,1.03E+14,1.03E+14,1.03E+14,1.04E+14,1.04E+14,1.04E+14,1.03E+14,1.02E+14,1.01E+14,9.97E+13,9.86E+13,9.70E+13,9.54E+13,9.37E+13,9.21E+13,9.05E+13,8.89E+13,8.73E+13,8.57E+13,8.41E+13,8.25E+13,8.05E+13,7.85E+13,7.65E+13,7.46E+13,7.26E+13,7.11E+13,6.95E+13,6.79E+13,6.64E+13,6.46E+13
oil and gas extraction 06,5.65E+12,4.69E+12,5.03E+12,5.31E+12,5.53E+12,5.73E+12,5.94E+12,6.07E+12,6.19E+12,6.31E+12,6.44E+12,6.56E+12,6.63E+12,6.70E+12,6.78E+12,6.85E+12,6.92E+12,7.01E+12,7.09E+12,7.18E+12,7.26E+12,7.35E+12,7.39E+12,7.43E+12,7.47E+12,7.50E+12,7.54E+12,7.58E+12,7.62E+12,7.66E+12,7.70E+12,7.74E+12,7.78E+12,7.81E+12,7.85E+12,7.89E+12,7.93E+12,7.92E+12,7.91E+12,7.91E+12,7.90E+12,7.87E+12
other mining and quarrying 07T08,1.51E+13,1.72E+13,1.85E+13,1.80E+13,1.91E+13,2.02E+13,2.13E+13,2.17E+13,2.20E+13,2.24E+13,2.27E+13,2.31E+13,2.30E+13,2.29E+13,2.28E+13,2.27E+13,2.26E+13,2.24E+13,2.21E+13,2.18E+13,2.15E+13,2.12E+13,2.08E+13,2.03E+13,1.98E+13,1.93E+13,1.88E+13,1.83E+13,1.79E+13,1.74E+13,1.69E+13,1.64E+13,1.60E+13,1.56E+13,1.52E+13,1.47E+13,1.43E+13,1.39E+13,1.35E+13,1.31E+13,1.27E+13,1.23E+13
food beverage and tobacco 10T12,1.25E+13,1.57E+12,1.76E+12,1.83E+12,1.84E+12,1.88E+12,1.94E+12,2.00E+12,2.07E+12,2.13E+12,2.18E+12,2.24E+12,2.28E+12,2.32E+12,2.36E+12,2.38E+12,2.41E+12,2.43E+12,2.45E+12,2.47E+12,2.48E+12,2.49E+12,2.49E+12,2.49E+12,2.49E+12,2.48E+12,2.47E+12,2.46E+12,2.45E+12,2.44E+12,2.43E+12,2.41E+12,2.40E+12,2.38E+12,2.37E+12,2.36E+12,2.34E+12,2.33E+12,2.32E+12,2.31E+12,2.31E+12,2.29E+12
textiles apparel and leather 13T15,1.12E+12,9.25E+11,9.87E+11,9.72E+11,9.68E+11,9.70E+11,9.74E+11,9.81E+11,9.87E+11,9.91E+11,9.92E+11,9.89E+11,9.81E+11,9.69E+11,9.54E+11,9.37E+11,9.19E+11,9.05E+11,8.91E+11,8.78E+11,8.64E+11,8.51E+11,8.39E+11,8.26E+11,8.14E+11,8.03E+11,7.92E+11,7.82E+11,7.72E+11,7.63E+11,7.54E+11,7.46E+11,7.39E+11,7.32E+11,7.25E+11,7.20E+11,7.14E+11,7.10E+11,7.06E+11,7.03E+11,7.00E+11,6.95E+11
wood products 16,2.48E+11,2.59E+11,2.96E+11,2.88E+11,2.86E+11,2.86E+11,2.88E+11,2.91E+11,2.94E+11,2.98E+11,3.01E+11,3.03E+11,3.05E+11,3.06E+11,3.05E+11,3.04E+11,3.02E+11,3.01E+11,2.99E+11,2.96E+11,2.93E+11,2.89E+11,2.85E+11,2.81E+11,2.76E+11,2.71E+11,2.66E+11,2.61E+11,2.56E+11,2.51E+11,2.47E+11,2.42E+11,2.37E+11,2.33E+11,2.29E+11,2.26E+11,2.22E+11,2.19E+11,2.17E+11,2.15E+11,2.13E+11,2.11E+11
pulp paper and printing 17T18,1.79E+12,2.05E+12,2.30E+12,2.31E+12,2.36E+12,2.43E+12,2.50E+12,2.56E+12,2.62E+12,2.68E+12,2.74E+12,2.79E+12,2.82E+12,2.85E+12,2.88E+12,2.90E+12,2.91E+12,2.93E+12,2.94E+12,2.95E+12,2.95E+12,2.95E+12,2.94E+12,2.92E+12,2.90E+12,2.88E+12,2.86E+12,2.83E+12,2.79E+12,2.76E+12,2.73E+12,2.69E+12,2.66E+12,2.63E+12,2.59E+12,2.56E+12,2.53E+12,2.50E+12,2.47E+12,2.44E+12,2.42E+12,2.38E+12
refined petroleum and coke 19,3.20E+15,3.46E+15,3.40E+15,3.46E+15,3.73E+15,4.00E+15,4.26E+15,4.35E+15,4.44E+15,4.53E+15,4.61E+15,4.70E+15,4.70E+15,4.70E+15,4.70E+15,4.70E+15,4.70E+15,4.65E+15,4.59E+15,4.54E+15,4.48E+15,4.43E+15,4.33E+15,4.23E+15,4.13E+15,4.02E+15,3.92E+15,3.82E+15,3.72E+15,3.62E+15,3.52E+15,3.42E+15,3.33E+15,3.24E+15,3.16E+15,3.07E+15,2.98E+15,2.89E+15,2.80E+15,2.71E+15,2.62E+15,2.52E+15
chemicals 20,2.44E+15,2.62E+15,2.79E+15,2.77E+15,3.02E+15,3.27E+15,3.53E+15,3.65E+15,3.78E+15,3.90E+15,4.03E+15,4.15E+15,4.22E+15,4.30E+15,4.37E+15,4.44E+15,4.51E+15,4.55E+15,4.58E+15,4.62E+15,4.66E+15,4.70E+15,4.71E+15,4.73E+15,4.74E+15,4.76E+15,4.78E+15,4.78E+15,4.77E+15,4.77E+15,4.77E+15,4.77E+15,4.75E+15,4.73E+15,4.72E+15,4.70E+15,4.68E+15,4.66E+15,4.64E+15,4.62E+15,4.60E+15,4.57E+15
rubber and plastic products 22,2.27E+12,2.60E+12,2.84E+12,2.80E+12,2.81E+12,2.87E+12,2.96E+12,3.03E+12,3.09E+12,3.13E+12,3.15E+12,3.15E+12,3.14E+12,3.12E+12,3.08E+12,3.04E+12,2.99E+12,2.96E+12,2.94E+12,2.91E+12,2.88E+12,2.85E+12,2.83E+12,2.80E+12,2.77E+12,2.75E+12,2.73E+12,2.70E+12,2.68E+12,2.66E+12,2.64E+12,2.62E+12,2.60E+12,2.58E+12,2.57E+12,2.55E+12,2.54E+12,2.52E+12,2.51E+12,2.49E+12,2.48E+12,2.46E+12
