Unit:BTU,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,4.42E+14,4.43E+14,4.49E+14,4.66E+14,4.84E+14,5.06E+14,5.17E+14,5.48E+14,5.67E+14,5.86E+14,6.04E+14,6.32E+14,6.37E+14,6.52E+14,6.66E+14,6.78E+14,6.85E+14,7.02E+14,7.13E+14,7.23E+14,7.32E+14,7.40E+14,7.47E+14,7.53E+14,7.58E+14,7.62E+14,7.65E+14,7.67E+14,7.68E+14,7.69E+14,7.70E+14,7.70E+14,7.69E+14,7.68E+14,7.67E+14,7.65E+14,7.64E+14,7.62E+14,7.61E+14,7.59E+14,7.58E+14,7.53E+14
coal mining 05,2.40E+15,2.12E+15,2.23E+15,2.33E+15,2.44E+15,2.55E+15,2.65E+15,2.70E+15,2.74E+15,2.78E+15,2.82E+15,2.86E+15,2.88E+15,2.89E+15,2.91E+15,2.92E+15,2.94E+15,2.91E+15,2.88E+15,2.85E+15,2.83E+15,2.80E+15,2.76E+15,2.71E+15,2.67E+15,2.63E+15,2.58E+15,2.54E+15,2.50E+15,2.45E+15,2.41E+15,2.37E+15,2.31E+15,2.26E+15,2.20E+15,2.15E+15,2.09E+15,2.05E+15,2.01E+15,1.97E+15,1.92E+15,1.88E+15
oil and gas extraction 06,2.09E+13,1.30E+13,1.37E+13,1.44E+13,1.51E+13,1.58E+13,1.65E+13,1.68E+13,1.72E+13,1.75E+13,1.79E+13,1.82E+13,1.84E+13,1.86E+13,1.88E+13,1.90E+13,1.92E+13,1.94E+13,1.97E+13,1.99E+13,2.01E+13,2.04E+13,2.05E+13,2.06E+13,2.07E+13,2.08E+13,2.09E+13,2.10E+13,2.11E+13,2.12E+13,2.14E+13,2.15E+13,2.16E+13,2.17E+13,2.18E+13,2.19E+13,2.20E+13,2.20E+13,2.20E+13,2.19E+13,2.19E+13,2.18E+13
other mining and quarrying 07T08,1.61E+14,1.47E+14,1.53E+14,1.58E+14,1.64E+14,1.69E+14,1.74E+14,1.77E+14,1.79E+14,1.82E+14,1.85E+14,1.87E+14,1.86E+14,1.85E+14,1.84E+14,1.84E+14,1.83E+14,1.80E+14,1.78E+14,1.75E+14,1.73E+14,1.71E+14,1.67E+14,1.63E+14,1.59E+14,1.55E+14,1.51E+14,1.47E+14,1.44E+14,1.40E+14,1.36E+14,1.32E+14,1.29E+14,1.26E+14,1.23E+14,1.19E+14,1.16E+14,1.13E+14,1.10E+14,1.07E+14,1.04E+14,1.01E+14
food beverage and tobacco 10T12,5.04E+14,3.95E+14,4.43E+14,4.58E+14,4.61E+14,4.71E+14,4.86E+14,5.02E+14,5.17E+14,5.32E+14,5.46E+14,5.59E+14,5.70E+14,5.80E+14,5.88E+14,5.95E+14,6.00E+14,6.06E+14,6.11E+14,6.14E+14,6.17E+14,6.18E+14,6.19E+14,6.19E+14,6.18E+14,6.16E+14,6.14E+14,6.11E+14,6.08E+14,6.04E+14,6.01E+14,5.97E+14,5.93E+14,5.89E+14,5.85E+14,5.82E+14,5.78E+14,5.75E+14,5.73E+14,5.71E+14,5.69E+14,5.65E+14
textiles apparel and leather 13T15,8.62E+13,5.62E+13,5.95E+13,5.86E+13,5.84E+13,5.85E+13,5.89E+13,5.94E+13,5.98E+13,6.00E+13,6.01E+13,5.99E+13,5.94E+13,5.86E+13,5.77E+13,5.66E+13,5.55E+13,5.46E+13,5.38E+13,5.30E+13,5.22E+13,5.15E+13,5.08E+13,5.01E+13,4.94E+13,4.88E+13,4.82E+13,4.76E+13,4.71E+13,4.66E+13,4.62E+13,4.57E+13,4.53E+13,4.50E+13,4.46E+13,4.43E+13,4.41E+13,4.38E+13,4.36E+13,4.35E+13,4.33E+13,4.30E+13
wood products 16,1.01E+13,7.04E+12,8.02E+12,8.00E+12,7.97E+12,8.00E+12,8.07E+12,8.17E+12,8.29E+12,8.40E+12,8.51E+12,8.59E+12,8.66E+12,8.70E+12,8.71E+12,8.69E+12,8.64E+12,8.62E+12,8.57E+12,8.50E+12,8.42E+12,8.33E+12,8.22E+12,8.10E+12,7.98E+12,7.85E+12,7.71E+12,7.58E+12,7.44E+12,7.31E+12,7.18E+12,7.05E+12,6.93E+12,6.81E+12,6.70E+12,6.60E+12,6.52E+12,6.44E+12,6.37E+12,6.32E+12,6.27E+12,6.22E+12
pulp paper and printing 17T18,1.39E+14,1.12E+14,1.17E+14,1.22E+14,1.27E+14,1.32E+14,1.37E+14,1.40E+14,1.42E+14,1.45E+14,1.48E+14,1.50E+14,1.51E+14,1.53E+14,1.54E+14,1.55E+14,1.56E+14,1.56E+14,1.57E+14,1.57E+14,1.58E+14,1.58E+14,1.57E+14,1.56E+14,1.55E+14,1.54E+14,1.53E+14,1.51E+14,1.49E+14,1.47E+14,1.45E+14,1.43E+14,1.40E+14,1.38E+14,1.36E+14,1.34E+14,1.31E+14,1.29E+14,1.26E+14,1.24E+14,1.21E+14,1.18E+14
refined petroleum and coke 19,4.10E+15,4.06E+15,4.25E+15,4.45E+15,4.64E+15,4.84E+15,5.04E+15,5.15E+15,5.26E+15,5.37E+15,5.48E+15,5.59E+15,5.60E+15,5.61E+15,5.61E+15,5.62E+15,5.63E+15,5.57E+15,5.50E+15,5.44E+15,5.37E+15,5.31E+15,5.19E+15,5.07E+15,4.95E+15,4.83E+15,4.71E+15,4.59E+15,4.47E+15,4.35E+15,4.23E+15,4.11E+15,4.01E+15,3.90E+15,3.80E+15,3.69E+15,3.59E+15,3.48E+15,3.37E+15,3.26E+15,3.15E+15,3.05E+15
chemicals 20,3.45E+15,3.53E+15,3.77E+15,4.00E+15,4.23E+15,4.46E+15,4.69E+15,4.85E+15,5.01E+15,5.17E+15,5.32E+15,5.48E+15,5.56E+15,5.64E+15,5.72E+15,5.81E+15,5.89E+15,5.93E+15,5.98E+15,6.02E+15,6.06E+15,6.11E+15,6.13E+15,6.14E+15,6.16E+15,6.18E+15,6.20E+15,6.19E+15,6.19E+15,6.18E+15,6.17E+15,6.17E+15,6.14E+15,6.12E+15,6.09E+15,6.06E+15,6.04E+15,6.01E+15,5.98E+15,5.95E+15,5.92E+15,5.87E+15
