Unit:BTU,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,4.56E+14,4.85E+14,4.93E+14,5.13E+14,5.35E+14,5.60E+14,5.74E+14,6.10E+14,6.33E+14,6.56E+14,6.78E+14,7.10E+14,7.18E+14,7.36E+14,7.53E+14,7.69E+14,7.78E+14,7.98E+14,8.12E+14,8.24E+14,8.35E+14,8.45E+14,8.54E+14,8.62E+14,8.68E+14,8.74E+14,8.78E+14,8.82E+14,8.84E+14,8.87E+14,8.88E+14,8.89E+14,8.89E+14,8.89E+14,8.89E+14,8.88E+14,8.87E+14,8.86E+14,8.86E+14,8.85E+14,8.84E+14,8.80E+14
coal mining 05,3.50E+14,3.10E+14,3.25E+14,3.41E+14,3.56E+14,3.71E+14,3.86E+14,3.92E+14,3.98E+14,4.04E+14,4.10E+14,4.16E+14,4.17E+14,4.19E+14,4.21E+14,4.23E+14,4.25E+14,4.21E+14,4.17E+14,4.13E+14,4.09E+14,4.06E+14,3.99E+14,3.93E+14,3.87E+14,3.81E+14,3.75E+14,3.68E+14,3.62E+14,3.56E+14,3.50E+14,3.44E+14,3.36E+14,3.28E+14,3.20E+14,3.12E+14,3.05E+14,2.98E+14,2.92E+14,2.86E+14,2.80E+14,2.73E+14
oil and gas extraction 06,1.48E+14,1.58E+14,1.67E+14,1.76E+14,1.85E+14,1.94E+14,2.03E+14,2.08E+14,2.13E+14,2.17E+14,2.22E+14,2.27E+14,2.30E+14,2.33E+14,2.36E+14,2.39E+14,2.42E+14,2.45E+14,2.48E+14,2.51E+14,2.55E+14,2.58E+14,2.59E+14,2.61E+14,2.63E+14,2.64E+14,2.66E+14,2.68E+14,2.69E+14,2.71E+14,2.73E+14,2.74E+14,2.76E+14,2.78E+14,2.79E+14,2.81E+14,2.82E+14,2.82E+14,2.83E+14,2.83E+14,2.83E+14,2.82E+14
other mining and quarrying 07T08,3.63E+14,3.42E+14,3.58E+14,3.74E+14,3.90E+14,4.06E+14,4.21E+14,4.34E+14,4.46E+14,4.58E+14,4.70E+14,4.82E+14,4.85E+14,4.87E+14,4.90E+14,4.92E+14,4.95E+14,4.92E+14,4.89E+14,4.86E+14,4.84E+14,4.81E+14,4.74E+14,4.66E+14,4.59E+14,4.52E+14,4.45E+14,4.36E+14,4.27E+14,4.18E+14,4.09E+14,4.00E+14,3.91E+14,3.82E+14,3.73E+14,3.63E+14,3.54E+14,3.45E+14,3.36E+14,3.27E+14,3.18E+14,3.08E+14
food beverage and tobacco 10T12,4.52E+14,4.79E+14,5.37E+14,5.55E+14,5.58E+14,5.70E+14,5.87E+14,6.05E+14,6.23E+14,6.41E+14,6.58E+14,6.74E+14,6.88E+14,6.99E+14,7.08E+14,7.16E+14,7.21E+14,7.27E+14,7.31E+14,7.34E+14,7.36E+14,7.36E+14,7.35E+14,7.33E+14,7.31E+14,7.27E+14,7.24E+14,7.19E+14,7.14E+14,7.09E+14,7.04E+14,6.98E+14,6.93E+14,6.88E+14,6.83E+14,6.78E+14,6.74E+14,6.71E+14,6.68E+14,6.65E+14,6.64E+14,6.60E+14
textiles apparel and leather 13T15,7.33E+14,6.86E+14,7.32E+14,7.23E+14,7.24E+14,7.29E+14,7.36E+14,7.45E+14,7.54E+14,7.60E+14,7.65E+14,7.65E+14,7.62E+14,7.54E+14,7.44E+14,7.33E+14,7.21E+14,7.11E+14,7.02E+14,6.92E+14,6.83E+14,6.75E+14,6.66E+14,6.58E+14,6.51E+14,6.44E+14,6.37E+14,6.31E+14,6.25E+14,6.19E+14,6.14E+14,6.09E+14,6.05E+14,6.01E+14,5.97E+14,5.94E+14,5.91E+14,5.89E+14,5.87E+14,5.86E+14,5.85E+14,5.82E+14
wood products 16,1.35E+14,1.38E+14,1.59E+14,1.57E+14,1.58E+14,1.59E+14,1.62E+14,1.65E+14,1.68E+14,1.71E+14,1.75E+14,1.77E+14,1.80E+14,1.81E+14,1.82E+14,1.83E+14,1.83E+14,1.82E+14,1.82E+14,1.81E+14,1.80E+14,1.78E+14,1.76E+14,1.74E+14,1.72E+14,1.70E+14,1.67E+14,1.65E+14,1.62E+14,1.60E+14,1.57E+14,1.55E+14,1.52E+14,1.50E+14,1.48E+14,1.46E+14,1.45E+14,1.44E+14,1.42E+14,1.42E+14,1.41E+14,1.40E+14
pulp paper and printing 17T18,3.29E+14,3.47E+14,3.73E+14,3.87E+14,4.01E+14,4.16E+14,4.32E+14,4.43E+14,4.54E+14,4.64E+14,4.75E+14,4.85E+14,4.91E+14,4.96E+14,5.01E+14,5.06E+14,5.10E+14,5.13E+14,5.16E+14,5.18E+14,5.20E+14,5.22E+14,5.20E+14,5.17E+14,5.15E+14,5.12E+14,5.09E+14,5.03E+14,4.97E+14,4.91E+14,4.85E+14,4.79E+14,4.73E+14,4.66E+14,4.60E+14,4.54E+14,4.47E+14,4.41E+14,4.34E+14,4.27E+14,4.20E+14,4.12E+14
refined petroleum and coke 19,4.09E+14,4.38E+14,4.59E+14,4.80E+14,5.01E+14,5.22E+14,5.43E+14,5.55E+14,5.67E+14,5.79E+14,5.92E+14,6.04E+14,6.04E+14,6.05E+14,6.06E+14,6.06E+14,6.07E+14,6.00E+14,5.94E+14,5.87E+14,5.80E+14,5.74E+14,5.61E+14,5.48E+14,5.36E+14,5.23E+14,5.10E+14,4.97E+14,4.84E+14,4.72E+14,4.59E+14,4.46E+14,4.35E+14,4.24E+14,4.13E+14,4.02E+14,3.90E+14,3.79E+14,3.67E+14,3.55E+14,3.44E+14,3.31E+14
chemicals 20,2.01E+15,2.13E+15,2.28E+15,2.42E+15,2.56E+15,2.71E+15,2.86E+15,2.97E+15,3.07E+15,3.18E+15,3.28E+15,3.38E+15,3.44E+15,3.50E+15,3.55E+15,3.61E+15,3.66E+15,3.69E+15,3.72E+15,3.75E+15,3.78E+15,3.81E+15,3.83E+15,3.84E+15,3.86E+15,3.87E+15,3.89E+15,3.89E+15,3.89E+15,3.89E+15,3.89E+15,3.89E+15,3.88E+15,3.87E+15,3.85E+15,3.84E+15,3.83E+15,3.82E+15,3.80E+15,3.79E+15,3.77E+15,3.75E+15
