Unit:BTU,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,6.61E+11,1.06E+12,1.11E+12,1.17E+12,1.26E+12,1.33E+12,1.36E+12,1.45E+12,1.51E+12,1.57E+12,1.63E+12,1.71E+12,1.73E+12,1.78E+12,1.83E+12,1.87E+12,1.90E+12,1.95E+12,1.98E+12,2.01E+12,2.04E+12,2.06E+12,2.08E+12,2.10E+12,2.12E+12,2.13E+12,2.14E+12,2.15E+12,2.16E+12,2.16E+12,2.16E+12,2.17E+12,2.17E+12,2.17E+12,2.17E+12,2.16E+12,2.16E+12,2.16E+12,2.16E+12,2.16E+12,2.15E+12,2.15E+12
coal mining 05,6.68E+12,5.94E+12,6.81E+12,7.54E+12,8.35E+12,8.88E+12,9.38E+12,9.55E+12,9.72E+12,9.89E+12,1.01E+13,1.02E+13,1.03E+13,1.04E+13,1.04E+13,1.05E+13,1.06E+13,1.05E+13,1.04E+13,1.03E+13,1.02E+13,1.01E+13,9.92E+12,9.76E+12,9.61E+12,9.45E+12,9.29E+12,9.13E+12,8.98E+12,8.82E+12,8.66E+12,8.51E+12,8.31E+12,8.12E+12,7.92E+12,7.72E+12,7.53E+12,7.37E+12,7.22E+12,7.06E+12,6.90E+12,6.75E+12
oil and gas extraction 06,2.63E+13,2.54E+13,2.67E+13,2.92E+13,3.21E+13,3.38E+13,3.56E+13,3.65E+13,3.73E+13,3.81E+13,3.90E+13,3.98E+13,4.04E+13,4.09E+13,4.15E+13,4.20E+13,4.26E+13,4.31E+13,4.37E+13,4.42E+13,4.48E+13,4.53E+13,4.56E+13,4.59E+13,4.61E+13,4.64E+13,4.67E+13,4.70E+13,4.72E+13,4.75E+13,4.78E+13,4.80E+13,4.83E+13,4.86E+13,4.88E+13,4.91E+13,4.94E+13,4.94E+13,4.93E+13,4.93E+13,4.93E+13,4.93E+13
other mining and quarrying 07T08,2.28E+13,2.29E+13,2.44E+13,2.56E+13,2.69E+13,2.75E+13,2.80E+13,2.84E+13,2.88E+13,2.92E+13,2.96E+13,3.00E+13,2.97E+13,2.93E+13,2.90E+13,2.87E+13,2.84E+13,2.79E+13,2.74E+13,2.69E+13,2.64E+13,2.60E+13,2.53E+13,2.46E+13,2.39E+13,2.32E+13,2.25E+13,2.20E+13,2.14E+13,2.09E+13,2.04E+13,1.98E+13,1.95E+13,1.92E+13,1.88E+13,1.85E+13,1.82E+13,1.80E+13,1.78E+13,1.76E+13,1.74E+13,1.72E+13
food beverage and tobacco 10T12,1.95E+14,2.24E+14,2.58E+14,2.73E+14,2.85E+14,2.93E+14,3.05E+14,3.16E+14,3.28E+14,3.40E+14,3.51E+14,3.61E+14,3.70E+14,3.78E+14,3.86E+14,3.92E+14,3.97E+14,4.02E+14,4.06E+14,4.09E+14,4.11E+14,4.13E+14,4.14E+14,4.15E+14,4.15E+14,4.14E+14,4.14E+14,4.13E+14,4.11E+14,4.10E+14,4.08E+14,4.06E+14,4.04E+14,4.02E+14,4.00E+14,3.98E+14,3.96E+14,3.95E+14,3.94E+14,3.93E+14,3.92E+14,3.91E+14
textiles apparel and leather 13T15,3.14E+14,3.08E+14,3.18E+14,3.24E+14,3.33E+14,3.35E+14,3.39E+14,3.43E+14,3.47E+14,3.50E+14,3.52E+14,3.53E+14,3.51E+14,3.48E+14,3.43E+14,3.38E+14,3.33E+14,3.28E+14,3.23E+14,3.19E+14,3.14E+14,3.10E+14,3.06E+14,3.03E+14,2.99E+14,2.96E+14,2.93E+14,2.90E+14,2.87E+14,2.85E+14,2.83E+14,2.80E+14,2.79E+14,2.77E+14,2.75E+14,2.74E+14,2.73E+14,2.71E+14,2.71E+14,2.70E+14,2.69E+14,2.69E+14
wood products 16,6.94E+12,7.30E+12,7.73E+12,8.48E+12,8.65E+12,8.72E+12,8.83E+12,8.96E+12,9.11E+12,9.27E+12,9.41E+12,9.53E+12,9.64E+12,9.71E+12,9.75E+12,9.75E+12,9.73E+12,9.71E+12,9.65E+12,9.58E+12,9.49E+12,9.39E+12,9.27E+12,9.14E+12,9.00E+12,8.86E+12,8.71E+12,8.56E+12,8.41E+12,8.26E+12,8.11E+12,7.97E+12,7.83E+12,7.71E+12,7.59E+12,7.48E+12,7.38E+12,7.29E+12,7.22E+12,7.16E+12,7.11E+12,7.08E+12
pulp paper and printing 17T18,2.08E+14,2.21E+14,2.32E+14,2.55E+14,2.79E+14,2.93E+14,3.07E+14,3.14E+14,3.22E+14,3.29E+14,3.36E+14,3.44E+14,3.47E+14,3.51E+14,3.55E+14,3.58E+14,3.62E+14,3.63E+14,3.65E+14,3.67E+14,3.68E+14,3.70E+14,3.68E+14,3.66E+14,3.64E+14,3.62E+14,3.60E+14,3.55E+14,3.50E+14,3.45E+14,3.41E+14,3.36E+14,3.31E+14,3.26E+14,3.21E+14,3.16E+14,3.11E+14,3.05E+14,3.00E+14,2.94E+14,2.88E+14,2.82E+14
refined petroleum and coke 19,6.01E+14,6.30E+14,6.59E+14,7.05E+14,7.69E+14,8.09E+14,8.50E+14,8.68E+14,8.87E+14,9.05E+14,9.24E+14,9.42E+14,9.43E+14,9.44E+14,9.45E+14,9.46E+14,9.47E+14,9.37E+14,9.26E+14,9.15E+14,9.04E+14,8.93E+14,8.73E+14,8.52E+14,8.32E+14,8.12E+14,7.92E+14,7.71E+14,7.51E+14,7.31E+14,7.11E+14,6.90E+14,6.73E+14,6.55E+14,6.38E+14,6.20E+14,6.03E+14,5.84E+14,5.66E+14,5.48E+14,5.29E+14,5.11E+14
chemicals 20,1.48E+15,1.68E+15,1.85E+15,2.05E+15,2.28E+15,2.43E+15,2.58E+15,2.67E+15,2.77E+15,2.87E+15,2.96E+15,3.05E+15,3.11E+15,3.16E+15,3.21E+15,3.27E+15,3.32E+15,3.35E+15,3.37E+15,3.40E+15,3.42E+15,3.45E+15,3.46E+15,3.47E+15,3.49E+15,3.50E+15,3.51E+15,3.51E+15,3.51E+15,3.51E+15,3.51E+15,3.50E+15,3.49E+15,3.48E+15,3.47E+15,3.46E+15,3.44E+15,3.43E+15,3.41E+15,3.40E+15,3.39E+15,3.37E+15
