Unit:BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,3.08E+12,3.20E+12,3.29E+12,3.37E+12,3.46E+12,3.54E+12,3.61E+12,3.68E+12,3.76E+12,3.82E+12,3.89E+12,3.95E+12,4.02E+12,4.08E+12,4.13E+12,4.19E+12,4.24E+12,4.29E+12,4.34E+12,4.39E+12,4.44E+12,4.48E+12,4.52E+12,4.56E+12,4.60E+12,4.64E+12,4.68E+12,4.71E+12,4.75E+12,4.78E+12,4.81E+12,4.84E+12,4.87E+12,4.90E+12,4.93E+12,4.96E+12,4.99E+12,5.01E+12,5.04E+12,5.07E+12,5.10E+12
coal mining 05,7.94E+13,7.12E+13,6.30E+13,5.49E+13,4.72E+13,3.99E+13,3.58E+13,3.51E+13,3.43E+13,3.35E+13,3.27E+13,3.19E+13,3.11E+13,3.03E+13,2.95E+13,2.88E+13,2.80E+13,2.73E+13,2.65E+13,2.58E+13,2.51E+13,2.44E+13,2.37E+13,2.30E+13,2.24E+13,2.17E+13,2.11E+13,2.05E+13,1.99E+13,1.93E+13,1.87E+13,1.81E+13,1.75E+13,1.70E+13,1.64E+13,1.59E+13,1.53E+13,1.48E+13,1.43E+13,1.38E+13,1.33E+13
oil and gas extraction 06,4.69E+12,4.90E+12,4.68E+12,4.45E+12,4.23E+12,4.01E+12,3.79E+12,3.58E+12,3.38E+12,3.18E+12,2.99E+12,2.80E+12,2.62E+12,2.45E+12,2.28E+12,2.11E+12,1.96E+12,1.83E+12,1.79E+12,1.75E+12,1.72E+12,1.68E+12,1.64E+12,1.61E+12,1.57E+12,1.54E+12,1.51E+12,1.48E+12,1.45E+12,1.42E+12,1.39E+12,1.36E+12,1.34E+12,1.31E+12,1.29E+12,1.26E+12,1.24E+12,1.22E+12,1.19E+12,1.17E+12,1.15E+12
other mining and quarrying 07T08,1.72E+13,1.82E+13,1.74E+13,1.67E+13,1.60E+13,1.53E+13,1.46E+13,1.39E+13,1.33E+13,1.27E+13,1.21E+13,1.16E+13,1.10E+13,1.05E+13,1.00E+13,9.58E+12,9.14E+12,8.71E+12,8.31E+12,7.92E+12,7.55E+12,7.20E+12,6.86E+12,6.53E+12,6.22E+12,5.93E+12,5.64E+12,5.37E+12,5.11E+12,4.86E+12,4.62E+12,4.39E+12,4.17E+12,3.95E+12,3.75E+12,3.55E+12,3.36E+12,3.18E+12,3.00E+12,2.84E+12,2.67E+12
food beverage and tobacco 10T12,1.57E+12,1.75E+12,1.76E+12,1.75E+12,1.74E+12,1.72E+12,1.71E+12,1.69E+12,1.67E+12,1.65E+12,1.62E+12,1.60E+12,1.58E+12,1.56E+12,1.53E+12,1.51E+12,1.49E+12,1.46E+12,1.44E+12,1.42E+12,1.39E+12,1.37E+12,1.35E+12,1.33E+12,1.30E+12,1.28E+12,1.26E+12,1.24E+12,1.22E+12,1.20E+12,1.18E+12,1.16E+12,1.14E+12,1.12E+12,1.10E+12,1.08E+12,1.06E+12,1.04E+12,1.03E+12,1.01E+12,9.90E+11
textiles apparel and leather 13T15,9.25E+11,9.82E+11,9.53E+11,9.24E+11,8.96E+11,8.69E+11,8.43E+11,8.18E+11,7.93E+11,7.69E+11,7.46E+11,7.24E+11,7.02E+11,6.82E+11,6.62E+11,6.43E+11,6.24E+11,6.06E+11,5.88E+11,5.71E+11,5.54E+11,5.38E+11,5.23E+11,5.08E+11,4.93E+11,4.79E+11,4.66E+11,4.53E+11,4.41E+11,4.29E+11,4.17E+11,4.06E+11,3.95E+11,3.85E+11,3.75E+11,3.65E+11,3.56E+11,3.47E+11,3.38E+11,3.30E+11,3.21E+11
wood products 16,2.59E+11,2.41E+11,1.93E+11,1.51E+11,1.14E+11,8.39E+10,5.89E+10,4.55E+10,3.30E+10,2.29E+10,2.26E+10,2.23E+10,2.19E+10,2.16E+10,2.13E+10,2.10E+10,2.06E+10,2.03E+10,2.00E+10,1.97E+10,1.94E+10,1.92E+10,1.89E+10,1.86E+10,1.84E+10,1.81E+10,1.79E+10,1.76E+10,1.74E+10,1.71E+10,1.69E+10,1.67E+10,1.65E+10,1.63E+10,1.61E+10,1.59E+10,1.57E+10,1.55E+10,1.53E+10,1.52E+10,1.50E+10
pulp paper and printing 17T18,2.05E+12,2.34E+12,2.35E+12,2.34E+12,2.33E+12,2.31E+12,2.29E+12,2.27E+12,2.24E+12,2.22E+12,2.19E+12,2.16E+12,2.13E+12,2.10E+12,2.07E+12,2.04E+12,2.01E+12,1.98E+12,1.95E+12,1.92E+12,1.89E+12,1.85E+12,1.82E+12,1.79E+12,1.76E+12,1.73E+12,1.70E+12,1.67E+12,1.64E+12,1.62E+12,1.59E+12,1.56E+12,1.53E+12,1.50E+12,1.48E+12,1.45E+12,1.42E+12,1.39E+12,1.37E+12,1.34E+12,1.32E+12
refined petroleum and coke 19,7.20E+15,7.95E+15,8.09E+15,8.22E+15,8.34E+15,8.45E+15,8.56E+15,8.66E+15,8.74E+15,8.83E+15,8.90E+15,8.97E+15,9.03E+15,9.09E+15,9.15E+15,9.20E+15,9.24E+15,9.28E+15,9.32E+15,9.36E+15,9.39E+15,9.42E+15,9.45E+15,9.47E+15,9.50E+15,9.52E+15,9.54E+15,9.55E+15,9.57E+15,9.58E+15,9.60E+15,9.61E+15,9.62E+15,9.63E+15,9.63E+15,9.64E+15,9.65E+15,9.65E+15,9.66E+15,9.66E+15,9.66E+15
chemicals 20,2.62E+15,3.11E+15,3.18E+15,3.23E+15,3.28E+15,3.33E+15,3.37E+15,3.40E+15,3.43E+15,3.45E+15,3.48E+15,3.49E+15,3.51E+15,3.52E+15,3.53E+15,3.54E+15,3.55E+15,3.55E+15,3.55E+15,3.56E+15,3.56E+15,3.56E+15,3.55E+15,3.55E+15,3.55E+15,3.54E+15,3.54E+15,3.53E+15,3.53E+15,3.52E+15,3.51E+15,3.51E+15,3.50E+15,3.49E+15,3.48E+15,3.47E+15,3.46E+15,3.45E+15,3.44E+15,3.44E+15,3.43E+15
