Pollutant:,CO,Unit: grams of CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,,
agriculture and forestry 01T03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
coal mining 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
oil and gas extraction 06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
other mining and quarrying 07T08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
food beverage and tobacco 10T12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
textiles apparel and leather 13T15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
wood products 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
pulp paper and printing 17T18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
refined petroleum and coke 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
chemicals 20,1.183E+12,1.22164E+12,1.32022E+12,1.339E+12,1.373E+12,1.42532E+12,1.47704E+12,1.5281E+12,1.57859E+12,1.62864E+12,1.67835E+12,1.72783E+12,1.77719E+12,1.82654E+12,1.87596E+12,1.92555E+12,1.97539E+12,2.02557E+12,2.07615E+12,2.12722E+12,2.17883E+12,2.23105E+12,2.28393E+12,2.33754E+12,2.39193E+12,2.44714E+12,2.50323E+12,2.56024E+12,2.61821E+12,2.6772E+12,2.73725E+12,2.79839E+12,2.86067E+12,2.92413E+12,2.98881E+12,3.05475E+12,3.12198E+12,3.19056E+12,3.26051E+12,3.33188E+12,3.40471E+12,3.47904E+12,3.5549E+12,,
rubber and plastic products 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
glass and glass products 231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
cement and other nonmetallic minerals 239,1.4271E+13,1.5276E+13,1.5879E+13,1.60599E+13,2.14065E+13,2.24324E+13,2.3447E+13,2.44515E+13,2.54472E+13,2.64358E+13,2.74189E+13,2.83982E+13,2.93755E+13,3.03524E+13,3.13305E+13,3.23114E+13,3.32965E+13,3.42874E+13,3.52852E+13,3.62913E+13,3.73069E+13,3.83332E+13,3.93711E+13,4.04218E+13,4.14863E+13,4.25655E+13,4.36603E+13,4.47716E+13,4.59003E+13,4.70473E+13,4.82133E+13,4.93992E+13,5.06057E+13,5.18337E+13,5.3084E+13,5.43572E+13,5.56541E+13,5.69756E+13,5.83224E+13,5.96952E+13,6.10949E+13,6.25221E+13,6.39777E+13,,
iron and steel 241,1.378E+13,1.4651E+13,1.55731E+13,1.523E+13,1.519E+13,1.59432E+13,1.66858E+13,1.74211E+13,1.81503E+13,1.88744E+13,1.95946E+13,2.03121E+13,2.10281E+13,2.17438E+13,2.24604E+13,2.3179E+13,2.39006E+13,2.46264E+13,2.53571E+13,2.60939E+13,2.68374E+13,2.75886E+13,2.83483E+13,2.91172E+13,2.98961E+13,3.06855E+13,3.14863E+13,3.22991E+13,3.31244E+13,3.3963E+13,3.48153E+13,3.56821E+13,3.65638E+13,3.74611E+13,3.83745E+13,3.93046E+13,4.02519E+13,4.1217E+13,4.22005E+13,4.32029E+13,4.42248E+13,4.52667E+13,4.63292E+13,,
other metals 242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
metal products except machinery and vehicles 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
computers and electronics 26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
appliances and electrical equipment 27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
other machinery 28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
road vehicles 29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
nonroad vehicles 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
other manufacturing 31T33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
energy pipelines and gas processing 352T353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
water and waste 36T39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
construction 41T43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
