Pollutant:,SOx,Unit: grams of SOx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal mining 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oil and gas extraction 06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other mining and quarrying 07T08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
food beverage and tobacco 10T12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
textiles apparel and leather 13T15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wood products 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulp paper and printing 17T18,4.946E+10,5.766E+11,5.902E+11,6.542E+11,6.870E+11,7.14E+11,7.41E+11,7.68E+11,7.94E+11,8.20E+11,8.46E+11,8.71E+11,8.97E+11,9.23E+11,9.48E+11,9.74E+11,1.00E+12,1.03E+12,1.05E+12,1.08E+12,1.11E+12,1.13E+12,1.16E+12,1.19E+12,1.22E+12,1.24E+12,1.27E+12,1.30E+12,1.33E+12,1.36E+12,1.39E+12,1.43E+12,1.46E+12,1.49E+12,1.53E+12,1.56E+12,1.59E+12,1.63E+12,1.67E+12,1.70E+12,1.74E+12,1.78E+12,1.82E+12
refined petroleum and coke 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chemicals 20,3.104E+11,3.101E+11,3.141E+11,3.190E+11,3.232E+11,3.36E+11,3.48E+11,3.60E+11,3.72E+11,3.83E+11,3.95E+11,4.07E+11,4.18E+11,4.30E+11,4.42E+11,4.53E+11,4.65E+11,4.77E+11,4.89E+11,5.01E+11,5.13E+11,5.25E+11,5.38E+11,5.50E+11,5.63E+11,5.76E+11,5.89E+11,6.03E+11,6.16E+11,6.30E+11,6.44E+11,6.59E+11,6.73E+11,6.88E+11,7.04E+11,7.19E+11,7.35E+11,7.51E+11,7.68E+11,7.84E+11,8.01E+11,8.19E+11,8.37E+11
rubber and plastic products 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glass and glass products 231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cement and other nonmetallic minerals 239,2.500E+12,2.679E+12,2.779E+12,2.820E+12,3.702E+12,3.88E+12,4.05E+12,4.23E+12,4.40E+12,4.57E+12,4.74E+12,4.91E+12,5.08E+12,5.25E+12,5.42E+12,5.59E+12,5.76E+12,5.93E+12,6.10E+12,6.28E+12,6.45E+12,6.63E+12,6.81E+12,6.99E+12,7.17E+12,7.36E+12,7.55E+12,7.74E+12,7.94E+12,8.14E+12,8.34E+12,8.54E+12,8.75E+12,8.96E+12,9.18E+12,9.40E+12,9.62E+12,9.85E+12,1.01E+13,1.03E+13,1.06E+13,1.08E+13,1.11E+13
iron and steel 241,9.019E+11,9.685E+11,9.739E+11,9.595E+11,9.766E+11,1.02E+12,1.07E+12,1.12E+12,1.17E+12,1.21E+12,1.26E+12,1.31E+12,1.35E+12,1.40E+12,1.44E+12,1.49E+12,1.54E+12,1.58E+12,1.63E+12,1.68E+12,1.73E+12,1.77E+12,1.82E+12,1.87E+12,1.92E+12,1.97E+12,2.02E+12,2.08E+12,2.13E+12,2.18E+12,2.24E+12,2.29E+12,2.35E+12,2.41E+12,2.47E+12,2.53E+12,2.59E+12,2.65E+12,2.71E+12,2.78E+12,2.84E+12,2.91E+12,2.98E+12
other metals 242,2.734E+11,2.698E+11,2.794E+11,2.887E+11,3.013E+11,3.16E+11,3.31E+11,3.46E+11,3.60E+11,3.74E+11,3.89E+11,4.03E+11,4.17E+11,4.31E+11,4.45E+11,4.60E+11,4.74E+11,4.88E+11,5.03E+11,5.18E+11,5.32E+11,5.47E+11,5.62E+11,5.77E+11,5.93E+11,6.09E+11,6.24E+11,6.41E+11,6.57E+11,6.74E+11,6.90E+11,7.08E+11,7.25E+11,7.43E+11,7.61E+11,7.80E+11,7.98E+11,8.17E+11,8.37E+11,8.57E+11,8.77E+11,8.98E+11,9.19E+11
metal products except machinery and vehicles 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
computers and electronics 26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appliances and electrical equipment 27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other machinery 28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
road vehicles 29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nonroad vehicles 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other manufacturing 31T33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
energy pipelines and gas processing 352T353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water and waste 36T39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
construction 41T43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
