Pollutant:,VOC,Unit: grams of VOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,,
agriculture and forestry 01T03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
coal mining 05,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
oil and gas extraction 06,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
other mining and quarrying 07T08,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
food beverage and tobacco 10T12,1.943E+11,1.853E+11,1.743E+11,1.690E+11,1.590E+11,1.62E+11,1.65E+11,1.67E+11,1.70E+11,1.72E+11,1.75E+11,1.77E+11,1.80E+11,1.82E+11,1.84E+11,1.87E+11,1.89E+11,1.92E+11,1.94E+11,1.97E+11,2.00E+11,2.02E+11,2.05E+11,2.08E+11,2.11E+11,2.14E+11,2.17E+11,2.20E+11,2.23E+11,2.26E+11,2.30E+11,2.33E+11,2.36E+11,2.40E+11,2.44E+11,2.47E+11,2.51E+11,2.55E+11,2.59E+11,2.63E+11,2.68E+11,2.72E+11,2.76E+11,,
textiles apparel and leather 13T15,1.249E+11,1.055E+11,8.725E+10,9.537E+10,8.887E+10,9.12E+10,9.34E+10,9.56E+10,9.78E+10,9.99E+10,1.02E+11,1.04E+11,1.06E+11,1.08E+11,1.10E+11,1.13E+11,1.15E+11,1.17E+11,1.19E+11,1.21E+11,1.23E+11,1.26E+11,1.28E+11,1.30E+11,1.33E+11,1.35E+11,1.38E+11,1.40E+11,1.43E+11,1.45E+11,1.48E+11,1.51E+11,1.53E+11,1.56E+11,1.59E+11,1.62E+11,1.65E+11,1.68E+11,1.71E+11,1.75E+11,1.78E+11,1.81E+11,1.85E+11,,
wood products 16,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
pulp paper and printing 17T18,1.916E+10,2.234E+11,2.287E+11,2.535E+11,2.662E+11,2.77E+11,2.87E+11,2.97E+11,3.08E+11,3.18E+11,3.28E+11,3.38E+11,3.48E+11,3.57E+11,3.67E+11,3.77E+11,3.87E+11,3.98E+11,4.08E+11,4.18E+11,4.28E+11,4.39E+11,4.50E+11,4.60E+11,4.71E+11,4.82E+11,4.94E+11,5.05E+11,5.17E+11,5.28E+11,5.41E+11,5.53E+11,5.65E+11,5.78E+11,5.91E+11,6.04E+11,6.18E+11,6.31E+11,6.45E+11,6.60E+11,6.74E+11,6.89E+11,7.04E+11,,
refined petroleum and coke 19,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
chemicals 20,2.183E+11,2.255E+11,2.437E+11,2.478E+11,2.540E+11,2.64E+11,2.73E+11,2.83E+11,2.92E+11,3.01E+11,3.11E+11,3.20E+11,3.29E+11,3.38E+11,3.47E+11,3.56E+11,3.66E+11,3.75E+11,3.84E+11,3.94E+11,4.03E+11,4.13E+11,4.23E+11,4.33E+11,4.43E+11,4.53E+11,4.63E+11,4.74E+11,4.85E+11,4.95E+11,5.07E+11,5.18E+11,5.29E+11,5.41E+11,5.53E+11,5.65E+11,5.78E+11,5.90E+11,6.03E+11,6.17E+11,6.30E+11,6.44E+11,6.58E+11,,
rubber and plastic products 22,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
glass and glass products 231,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
cement and other nonmetallic minerals 239,4.860E+11,5.205E+11,5.404E+11,5.477E+11,7.232E+11,7.58E+11,7.92E+11,8.26E+11,8.60E+11,8.93E+11,9.26E+11,9.59E+11,9.92E+11,1.03E+12,1.06E+12,1.09E+12,1.12E+12,1.16E+12,1.19E+12,1.23E+12,1.26E+12,1.30E+12,1.33E+12,1.37E+12,1.40E+12,1.44E+12,1.48E+12,1.51E+12,1.55E+12,1.59E+12,1.63E+12,1.67E+12,1.71E+12,1.75E+12,1.79E+12,1.84E+12,1.88E+12,1.92E+12,1.97E+12,2.02E+12,2.06E+12,2.11E+12,2.16E+12,,
