Unit: dimensionless (%),2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
coal mining 05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
oil and gas extraction 06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other mining and quarrying 07T08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
food beverage and tobacco 10T12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
textiles apparel and leather 13T15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
wood products 16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pulp paper and printing 17T18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
refined petroleum and coke 19,0.472750863,0.438916479,0.437939476,0.43695932,0.435975995,0.434989487,0.433999778,0.433176992,0.432352025,0.431524867,0.430695511,0.429863947,0.429160456,0.428455358,0.427748647,0.427040318,0.426330365,0.426137741,0.425945007,0.425752163,0.425559208,0.425366143,0.425172968,0.424979681,0.424786284,0.424592777,0.424399158,0.424205428,0.424011588,0.423817636,0.423623573,0.423429398,0.423235112,0.423040715,0.422846206,0.422651585,0.422456852,0.422262008,0.422067051,0.421871982,0.421676801,0.420617441
chemicals 20,0.245830022,0.160783739,0.160116268,0.159445837,0.158776729,0.158109098,0.157442169,0.156858773,0.156275327,0.155691795,0.155108153,0.154524386,0.154048351,0.153572082,0.153095592,0.152618896,0.15214201,0.151984427,0.151826847,0.15166927,0.151511694,0.151354121,0.151195388,0.151036579,0.150877692,0.15071873,0.150559692,0.1503978,0.15023565,0.150073243,0.149910578,0.149747655,0.149583592,0.149419183,0.149254425,0.149089313,0.148923845,0.148757353,0.148590451,0.148423134,0.148255395,0.14746828
rubber and plastic products 22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
glass and glass products 231,0.856483413,0.745263671,0.743573459,0.741868047,0.740147278,0.738410992,0.736659027,0.735027843,0.733383147,0.731724814,0.730052718,0.728366729,0.727001107,0.725626226,0.724242015,0.7228484,0.72144531,0.72090901,0.720371307,0.719832195,0.71929167,0.718749729,0.718206367,0.717661579,0.717115361,0.716567709,0.716018618,0.715468084,0.714916103,0.71436267,0.713807781,0.713251431,0.712693615,0.712134331,0.711573572,0.711011334,0.710447613,0.709882405,0.709315704,0.708747507,0.708177808,0.706526715
cement and other nonmetallic minerals 239,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
iron and steel 241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other metals 242,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
metal products except machinery and vehicles 25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
computers and electronics 26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
appliances and electrical equipment 27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other machinery 28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
road vehicles 29,0.273185003,0.259508133,0.257746211,0.255983538,0.254220162,0.252456135,0.250691506,0.249042701,0.247393096,0.24574273,0.244091639,0.242439862,0.241188263,0.239936506,0.238684609,0.237432593,0.236180475,0.235615794,0.235050864,0.234485687,0.233920264,0.233354596,0.232788683,0.232222525,0.231656125,0.231089482,0.230522597,0.229955471,0.229388105,0.2288205,0.228252656,0.227684575,0.227116256,0.226547701,0.225978911,0.225409886,0.224840628,0.224271137,0.223701413,0.223131458,0.222561273,0.221393172
nonroad vehicles 30,0.941452176,0.889225647,0.888617867,0.888004527,0.887385555,0.886760874,0.88613041,0.885567128,0.884999293,0.884426853,0.883849754,0.883267943,0.882768625,0.882265707,0.881759152,0.881248922,0.880734977,0.880579754,0.880424227,0.880268395,0.880112258,0.879955814,0.879799062,0.879642002,0.879484633,0.879326955,0.879168965,0.879010664,0.878852051,0.878693125,0.878533885,0.87837433,0.87821446,0.878054273,0.877893768,0.877732946,0.877571805,0.877410344,0.877248562,0.877086458,0.876924033,0.876204354
other manufacturing 31T33,0.605089503,0.731619473,0.729938913,0.7282442,0.726535197,0.724811768,0.723073775,0.721461695,0.719837207,0.718200206,0.716550586,0.714888242,0.713536312,0.712175792,0.710806622,0.70942874,0.708042081,0.707521332,0.706999348,0.706476128,0.705951667,0.705425963,0.704899012,0.704370811,0.703841356,0.703310645,0.702778673,0.702245438,0.701710937,0.701175165,0.70063812,0.700099799,0.699560197,0.699019312,0.69847714,0.697933678,0.697388922,0.696842869,0.696295516,0.695746859,0.695196896,0.693547447
energy pipelines and gas processing 352T353,0.590879104,0.039813104,0.039586826,0.039360795,0.03913501,0.038909472,0.038684181,0.038485863,0.038287769,0.038089901,0.037892257,0.037694839,0.037525695,0.037356685,0.037187808,0.037019065,0.036850456,0.036801352,0.03675227,0.03670321,0.036654172,0.036605157,0.036556164,0.036507194,0.036458245,0.036409319,0.036360415,0.036311534,0.036262674,0.036213838,0.036165023,0.036116231,0.036067461,0.036018714,0.035969989,0.035921286,0.035872605,0.035823948,0.035775312,0.035726699,0.035678108,0.035453302
water and waste 36T39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
construction 41T43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
