Unit: dimensionless (%),2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
coal mining 05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
oil and gas extraction 06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other mining and quarrying 07T08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
food beverage and tobacco 10T12,1,0.853147825,0.852608862,0.852779901,0.852243626,0.852078851,0.852035448,0.851989751,0.851829276,0.851583826,0.851285272,0.850967227,0.850772014,0.850593423,0.850431654,0.850286918,0.850159439,0.850495782,0.850848607,0.851215401,0.851593552,0.851980341,0.85237294,0.852768412,0.853163706,0.853555662,0.85394101,0.854316374,0.854678278,0.855023152,0.855347336,0.855647094,0.85591862,0.856158051,0.856361479,0.856524965,0.856644555,0.856716293,0.856736243,0.856700506,0.85660524,0.855808254
textiles apparel and leather 13T15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
wood products 16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pulp paper and printing 17T18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
refined petroleum and coke 19,0.04244178,0.090205001,0.089879854,0.089554559,0.089229116,0.088903525,0.088577785,0.088307672,0.08803747,0.087767177,0.087496794,0.08722632,0.086997995,0.086769599,0.08654113,0.08631259,0.086083977,0.086022027,0.085960074,0.085898119,0.085836162,0.085774202,0.085712241,0.085650277,0.085588311,0.085526342,0.085464372,0.085402399,0.085340424,0.085278447,0.085216468,0.085154486,0.085092503,0.085030517,0.084968529,0.084906538,0.084844546,0.084782551,0.084720554,0.084658555,0.084596554,0.084260632
chemicals 20,1,0.820568529,0.820283596,0.819128028,0.817992076,0.817239212,0.816622705,0.816198599,0.815666106,0.815034352,0.814315237,0.813522524,0.812938002,0.812300631,0.811623514,0.810919815,0.810202451,0.809956675,0.809709486,0.809460934,0.809211074,0.808959957,0.808752591,0.808543194,0.808331819,0.808118518,0.807903345,0.807722305,0.807539171,0.807353981,0.807166778,0.8069776,0.806821591,0.806663938,0.806504671,0.806343824,0.80618143,0.806023691,0.805864537,0.805704001,0.80554212,0.804604795
rubber and plastic products 22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
glass and glass products 231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cement and other nonmetallic minerals 239,1,0.809144053,0.808581131,0.808015427,0.80744692,0.806875589,0.806301412,0.805763147,0.805222309,0.804678881,0.804132845,0.803584182,0.803097846,0.802609405,0.802118848,0.801626161,0.801131333,0.801014322,0.80089723,0.800780061,0.800662814,0.800545492,0.80042833,0.800311132,0.800193907,0.800076661,0.799959402,0.799841615,0.799723758,0.799605833,0.799487844,0.799369793,0.799251236,0.799132572,0.799013802,0.798894925,0.798775943,0.798656101,0.798536099,0.798415936,0.79829561,0.797757758
iron and steel 241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other metals 242,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
metal products except machinery and vehicles 25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
computers and electronics 26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
appliances and electrical equipment 27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other machinery 28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
road vehicles 29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nonroad vehicles 30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other manufacturing 31T33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
energy pipelines and gas processing 352T353,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
water and waste 36T39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
construction 41T43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
