Unit: dimensionless (%),2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
coal mining 05,0.297449972,0.21492391,0.202491231,0.204487722,0.206483799,0.204676407,0.203206249,0.202636309,0.20206666,0.201497302,0.200928239,0.200359474,0.199964055,0.199568781,0.199173652,0.198778669,0.198383833,0.198261609,0.198139395,0.19801719,0.197894994,0.197772808,0.197650632,0.197528466,0.197406309,0.197284162,0.197162024,0.197039897,0.196917779,0.196795671,0.196673572,0.196551484,0.196429405,0.196307336,0.196185277,0.196063228,0.195941189,0.195819159,0.19569714,0.195575131,0.195453131,0.195278659
oil and gas extraction 06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other mining and quarrying 07T08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
food beverage and tobacco 10T12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
textiles apparel and leather 13T15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
wood products 16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pulp paper and printing 17T18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
refined petroleum and coke 19,0.075239855,0.051709211,0.048816541,0.048731407,0.049439479,0.048957075,0.048572092,0.048454435,0.048336854,0.048219349,0.048101921,0.047984569,0.047903528,0.047822524,0.047741556,0.047660624,0.047579728,0.04756318,0.047546635,0.047530093,0.047513554,0.047497018,0.047480484,0.047463953,0.047447425,0.0474309,0.047414378,0.047397858,0.047381341,0.047364827,0.047348316,0.047331807,0.047315302,0.047298799,0.047282299,0.047265802,0.047249307,0.047232816,0.047216327,0.047199841,0.047183357,0.04715124
chemicals 20,0.657012458,0.648017484,0.633393265,0.633368885,0.636540074,0.634009939,0.632069167,0.631612714,0.631064096,0.630431378,0.629725134,0.628957595,0.62847216,0.627943175,0.627382066,0.626800265,0.626208927,0.626044583,0.625879317,0.625713178,0.625546213,0.625378471,0.625249368,0.625118854,0.624986977,0.624853784,0.624719323,0.624616822,0.624513017,0.624407947,0.624301648,0.62419416,0.624116084,0.624037165,0.623957435,0.623876928,0.623795678,0.623719577,0.623642899,0.623565682,0.623487963,0.623323522
rubber and plastic products 22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
glass and glass products 231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cement and other nonmetallic minerals 239,0.951575963,0.934495591,0.93046229,0.930559504,0.931487674,0.930815207,0.930267324,0.930086833,0.929905624,0.929723695,0.92954104,0.929357657,0.929230267,0.929102523,0.928974425,0.928845972,0.928717161,0.928686707,0.928656235,0.928625745,0.928595238,0.928564713,0.92853417,0.92850361,0.928473031,0.928442435,0.928411822,0.92838119,0.928350541,0.928319874,0.928289189,0.928258486,0.928227766,0.928197027,0.928166271,0.928135497,0.928104704,0.928073894,0.928043066,0.928012221,0.927981357,0.927927442
iron and steel 241,0.887023665,0.879536444,0.872945714,0.872763198,0.874353021,0.873220996,0.872304723,0.872019955,0.871734178,0.871447386,0.871159574,0.870870738,0.870670511,0.87046979,0.870268572,0.870066856,0.86986464,0.869822873,0.869781088,0.869739286,0.869697465,0.869655627,0.869613771,0.869571897,0.869530005,0.869488096,0.869446168,0.869404223,0.86936226,0.86932028,0.869278281,0.869236264,0.86919423,0.869152177,0.869110107,0.869068019,0.869025913,0.868983789,0.868941647,0.868899487,0.868857309,0.868776652
other metals 242,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
