Unit: dimensionless (%),2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
coal mining 05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
oil and gas extraction 06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other mining and quarrying 07T08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
food beverage and tobacco 10T12,0.930178576,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
textiles apparel and leather 13T15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
wood products 16,0.185073146,0.109561855,0.108987103,0.106101188,0.105057946,0.103997911,0.102936103,0.10194614,0.100966146,0.099994182,0.09902841,0.098067083,0.09731094,0.096556477,0.095803754,0.095052826,0.094303752,0.09398072,0.093657811,0.093335127,0.09301277,0.092690839,0.092369431,0.09204864,0.091728558,0.091409276,0.091090882,0.090773461,0.090457096,0.090141869,0.089827859,0.089515144,0.089203798,0.088893895,0.088585506,0.0882787,0.087973545,0.087670107,0.087368449,0.087068634,0.086770723,0.086066068
pulp paper and printing 17T18,0.973936219,0.962383379,0.961002671,0.961328689,0.96144257,0.961420309,0.961316489,0.96105864,0.960795176,0.96053437,0.960284545,0.960054116,0.959779507,0.959533927,0.959314802,0.959119675,0.958946173,0.958866992,0.958807498,0.958766292,0.958742025,0.958733385,0.958640037,0.958559206,0.958489415,0.958429207,0.958377135,0.958259929,0.958146628,0.958035702,0.957925629,0.957814899,0.957691119,0.957563422,0.957430325,0.957290368,0.957142114,0.95696103,0.956768356,0.956562811,0.956343191,0.955891947
refined petroleum and coke 19,0.197681949,0.167608675,0.167055754,0.166502242,0.165948138,0.165393441,0.16483815,0.164377427,0.163916315,0.163454814,0.162992922,0.162530641,0.162140213,0.161749494,0.161358483,0.160967179,0.160575583,0.160469437,0.160363275,0.160257097,0.160150902,0.160044691,0.159938464,0.15983222,0.159725961,0.159619685,0.159513392,0.159407084,0.159300759,0.159194418,0.159088061,0.158981687,0.158875297,0.158768891,0.158662468,0.15855603,0.158449575,0.158343103,0.158236616,0.158130112,0.158023592,0.157446249
chemicals 20,0.507283119,0.425873684,0.424667744,0.423443152,0.422216764,0.420995113,0.419773183,0.418704216,0.417631008,0.41655364,0.415472259,0.414387057,0.413501296,0.412612645,0.411721337,0.410827601,0.409931661,0.409635087,0.409338318,0.409041353,0.408744192,0.408446835,0.4081478,0.407848405,0.407548652,0.407248542,0.406948078,0.406642602,0.40633642,0.406029529,0.405721928,0.405413618,0.405103469,0.404792445,0.404480538,0.40416774,0.403854044,0.403538285,0.403221524,0.40290375,0.402584952,0.401083719
rubber and plastic products 22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
glass and glass products 231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cement and other nonmetallic minerals 239,0.201880686,0.161381534,0.160889369,0.160397102,0.159904733,0.159412262,0.158919688,0.158460045,0.158000263,0.157540342,0.157080281,0.156620081,0.156213886,0.155807557,0.155401094,0.1549945,0.154587775,0.154491836,0.154395923,0.154300036,0.154204178,0.154108349,0.154012741,0.153917195,0.153821718,0.153726313,0.153630988,0.153535326,0.153439697,0.153344104,0.15324855,0.153153038,0.153057206,0.15296138,0.15286556,0.152769746,0.152673938,0.152577531,0.152481088,0.152384608,0.152288091,0.151857801
iron and steel 241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other metals 242,0.263177828,0.252248269,0.250758857,0.249268591,0.247777544,0.246285778,0.244793348,0.24334257,0.241891243,0.240439392,0.238987041,0.237534218,0.236395223,0.235256124,0.234116937,0.232977675,0.231838353,0.231371624,0.23090469,0.230437553,0.229970212,0.229502668,0.229034791,0.228566701,0.228098398,0.227629882,0.227161154,0.226691744,0.226222076,0.225752149,0.22528196,0.224811506,0.224340304,0.223868767,0.223396884,0.222924644,0.222452035,0.221979098,0.221505769,0.22103203,0.220557863,0.219615002
metal products except machinery and vehicles 25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
computers and electronics 26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
appliances and electrical equipment 27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other machinery 28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
road vehicles 29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nonroad vehicles 30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other manufacturing 31T33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
energy pipelines and gas processing 352T353,1,0.001384836,0.001376644,0.001368464,0.001360298,0.001352144,0.001344002,0.001336838,0.001329684,0.001322542,0.00131541,0.00130829,0.001302192,0.001296102,0.001290019,0.001283942,0.001277873,0.001276104,0.001274336,0.001272569,0.001270803,0.001269038,0.001267274,0.001265512,0.00126375,0.001261989,0.001260229,0.001258469,0.001256711,0.001254954,0.001253198,0.001251443,0.001249689,0.001247936,0.001246184,0.001244432,0.001242682,0.001240933,0.001239185,0.001237437,0.001235691,0.001227626
water and waste 36T39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
construction 41T43,0.042323599,0.042674647,0.042365688,0.042056739,0.0417478,0.041438871,0.041129953,0.04085816,0.040586394,0.040314657,0.040042948,0.039771267,0.039537852,0.039304437,0.039071024,0.038837612,0.038604202,0.038536672,0.03846915,0.038401634,0.038334124,0.038266622,0.038199126,0.038131637,0.038064154,0.037996679,0.03792921,0.037861748,0.037794293,0.037726844,0.037659402,0.037591967,0.037524539,0.037457118,0.037389703,0.037322295,0.037254894,0.0371875,0.037120113,0.037052732,0.036985359,0.03667051
