Unit: dimensionless (%),2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
coal mining 05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
oil and gas extraction 06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other mining and quarrying 07T08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
food beverage and tobacco 10T12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
textiles apparel and leather 13T15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
wood products 16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pulp paper and printing 17T18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
refined petroleum and coke 19,0.172340035,0.098126437,0.097775805,0.097424992,0.097073997,0.096722821,0.096371462,0.096080088,0.095788602,0.095497004,0.095205293,0.094913469,0.094667109,0.094420661,0.094174124,0.093927499,0.093680785,0.093613928,0.093547067,0.093480203,0.093413336,0.093346465,0.093279592,0.093212715,0.093145835,0.093078952,0.093012065,0.092945176,0.092878283,0.092811387,0.092744488,0.092677586,0.092610681,0.092543772,0.09247686,0.092409945,0.092343027,0.092276106,0.092209181,0.092142254,0.092075323,0.091712679
chemicals 20,0.581062437,0.592447892,0.591282109,0.590045411,0.588806502,0.587592696,0.586384685,0.585333041,0.584269568,0.583194863,0.582109765,0.581015271,0.580124447,0.579226805,0.578323329,0.577415002,0.576502779,0.576200127,0.575897099,0.575593696,0.575289922,0.574985779,0.574682363,0.574378369,0.5740738,0.57376866,0.573462955,0.573154158,0.572844431,0.572533774,0.572222189,0.571909675,0.5715971,0.571283449,0.570968716,0.570652894,0.570335975,0.570017164,0.569697159,0.569375949,0.569053525,0.567523629
rubber and plastic products 22,0.927904545,0.874560954,0.873255444,0.871930245,0.870584976,0.869219249,0.867832666,0.866501493,0.865150699,0.863779908,0.862388737,0.860976792,0.859866482,0.858743443,0.857607492,0.856458439,0.855296095,0.8547894,0.854279917,0.853767624,0.8532525,0.852734522,0.85221367,0.851689921,0.851163252,0.850633641,0.850101065,0.849565501,0.849026925,0.848485314,0.847940645,0.847392892,0.846842033,0.846288042,0.845730895,0.845170566,0.84460703,0.844040262,0.843470237,0.842896926,0.842320306,0.841051995
glass and glass products 231,0.987691592,0.979065245,0.978878352,0.978688937,0.978496954,0.978302355,0.978105092,0.977920237,0.977733032,0.977543437,0.977351413,0.977156917,0.97699918,0.976839792,0.976678731,0.976515972,0.976351492,0.976287783,0.97622381,0.976159572,0.976095068,0.976030296,0.975965255,0.975899942,0.975834357,0.975768498,0.975702363,0.975635951,0.97556926,0.975502288,0.975435035,0.975367498,0.975299675,0.975231566,0.975163168,0.97509448,0.9750255,0.974956226,0.974886657,0.974816791,0.974746626,0.974547022
cement and other nonmetallic minerals 239,0.971865278,0.974000691,0.973908328,0.973815396,0.973721891,0.973627807,0.973533138,0.973444284,0.973354902,0.973264988,0.973174536,0.973083543,0.973002796,0.972921615,0.972839997,0.972757937,0.972675433,0.972655911,0.97263637,0.972616812,0.972597235,0.972577641,0.972558069,0.972538486,0.972518893,0.972499292,0.972479684,0.972459982,0.972440264,0.972420529,0.972400779,0.972381013,0.972361157,0.972341279,0.972321377,0.972301453,0.972281506,0.972261409,0.97224128,0.97222112,0.972200926,0.972110598
iron and steel 241,0.648971739,0.663605776,0.662863599,0.6621185,0.661370463,0.66061947,0.659865504,0.659163848,0.658459633,0.657752845,0.657043471,0.656331497,0.655691086,0.655048509,0.654403757,0.653756817,0.653107678,0.652966153,0.652824536,0.652682829,0.652541031,0.652399143,0.652257163,0.652115093,0.651972932,0.651830679,0.651688335,0.6515459,0.651403374,0.651260756,0.651118047,0.650975246,0.650832354,0.65068937,0.650546294,0.650403126,0.650259866,0.650116513,0.649973069,0.649829533,0.649685904,0.648958313
other metals 242,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
metal products except machinery and vehicles 25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
computers and electronics 26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
appliances and electrical equipment 27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other machinery 28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
road vehicles 29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nonroad vehicles 30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other manufacturing 31T33,0.981856094,0.962688177,0.962376974,0.962061864,0.961742781,0.961419658,0.961092428,0.960787357,0.960478714,0.960166442,0.959850485,0.959530785,0.959270179,0.95900704,0.958741334,0.958473028,0.958202087,0.958099549,0.957996631,0.957893332,0.95778965,0.957685583,0.957581129,0.957476286,0.957371053,0.957265427,0.957159406,0.957052988,0.956946172,0.956838955,0.956731335,0.95662331,0.956514879,0.956406039,0.956296788,0.956187124,0.956077045,0.955966549,0.955855634,0.955744297,0.955632537,0.955299964
energy pipelines and gas processing 352T353,1,0.165473515,0.164654689,0.163835542,0.163016076,0.162196294,0.161376199,0.160653176,0.159930031,0.159206766,0.158483385,0.157759889,0.157139386,0.15651868,0.155897775,0.15527667,0.154655367,0.154474129,0.154292916,0.154111725,0.153930559,0.153749415,0.153568296,0.1533872,0.153206129,0.153025081,0.152844057,0.152663057,0.152482082,0.15230113,0.152120203,0.151939301,0.151758423,0.151577569,0.151396741,0.151215937,0.151035158,0.150854403,0.150673674,0.15049297,0.150312291,0.149476814
water and waste 36T39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
construction 41T43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
