Policy:,crop and rice measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
-1150,-1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52975E+11,3.05257E+11,4.56844E+11,6.07738E+11,7.57938E+11,9.09872E+11,1.06111E+12,1.21235E+12,1.36359E+12,1.51484E+12,1.66608E+12,1.81732E+12,1.96856E+12,2.1198E+12,2.27104E+12
-1100,-1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1050,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56513E+11,3.12569E+11,4.68172E+11,6.23322E+11,7.78021E+11,6.21008E+11,4.647E+11,3.09096E+11,1.54196E+11,0,0,0,0,0,0,0,0,0,0,0
-1000,-950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-950,-900,0,309105.857,614847.7772,917290.023,1215190.079,1509264.57,1222756.734,916047.1059,610029.9826,304686.9205,0,32647185350,65176273704,97589106024,1.29887E+11,1.62073E+11,1.29532E+11,97055235824,64641057849,32289461890,0,1.59666E+11,3.18914E+11,4.77747E+11,6.36166E+11,7.94173E+11,6.34412E+11,4.75116E+11,3.16283E+11,1.57912E+11,0,1291734044,2577609281,3857625425,5131782344,6400079206,7683025076,8960111415,10237197754,11514284092,12791370431,14068456770,15345543108,16622629447,17899715786,19176802125
-900,-850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1349555526,2695178523,4036884158,5374687775,6708604509,10032064161,13340381218,16633554265,19911583160,23174465062,26492878677,29786051043,33079223409,36372395775,39665568141,42958740507,46251912873,49545085239,52838257605,56131429971
-850,-800,0,0,0,0,0,0,3026946867,6047157412,9060812966,12068089671,15069159559,12033334195,9008677257,5995015670,2992178717,0,1.64448E+11,3.28578E+11,4.92391E+11,6.5589E+11,8.19078E+11,6.55807E+11,4.92964E+11,3.30547E+11,1.68552E+11,6979845156,10223707856,13458114737,16683102206,19898707476,23104966874,25160596319,27206665733,29243172323,31270116557,33287494710,35339939401,37376445301,39412951200,41449457100,43485962999,45522468899,47558974798,49595480698,51631986598,53668492497
-800,-750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4601897010,9191763201,13769650379,18335610358,22889694912,24984570080,27073329806,29155997454,31232597945,33303154596,26582239553,19891467119,13230835405,6600346073,0,0,0,0,0,0,0,0,0,0,0
-750,-700,0,0,0,0,0,0,0,0,0,0,0,4512197188,9008072083,13487879125,17951866275,22400278204,22431878058,22463479381,22495082131,22526686136,22558291346,24679750414,26795670687,28906076337,31010991593,33110440620,26449716244,19808384805,13186371169,6583601220,0,68122586.68,135936195.6,203440811.6,270636427.9,337523000.5,405182122.5,472532228.5,539882334.5,607232440.5,674582546.5,741932652.5,809282758.5,876632864.5,943982970.5,1011333077
-700,-650,0,0,0,0,0,0,4496906016,8983804389,13460964507,17928648050,22387110597,17877014470,13383510427,8906341347,4445253606,0,6632549372,13252249882,19859194086,26453473462,33035178599,26393543240,19769282019,13162320593,6572584683,0,73034836.25,145856853,218466871.3,290865721.3,363054222,289786190.5,216846758.5,144235905.4,71953649.37,0,0,0,0,0,0,0,0,0,0,0
-650,-600,0,4341276512,8635307784,12882996360,17066891570,21197058150,17173162417,12865540053,8567643655,4279214195,0,0,0,0,0,0,81714378.96,163270457.3,244669375.3,325912260,407000227.5,458164509.7,509195165.3,560092775.5,610857922.4,661491187.2,584221574.6,507176800.8,430355991.9,353758301.7,277382858.4,277297850.1,277210388.2,277120444.6,277028027.6,276933108.4,276847296.8,276757349.4,276667401.9,276577454.5,276487507,276397559.6,276307612.1,276217664.7,276127717.2,276037769.8
-600,-550,21315339833,16958791056,12649883624,8387703588,4166888577,0,47813850527,95521293690,1.43125E+11,1.90628E+11,2.38033E+11,1.97062E+11,1.56242E+11,1.15571E+11,75046584093,34666202969,27705995900,20759369455,13826225762,6906467881,0,0,0,0,0,0,0,0,0,0,0,3408075957,6800694196,10177853965,13539554914,16885794847,20270684326,23665878569,27043037737,30420196905,33797356073,37174515241,40551674409,43928833577,47305992744,50683151912
-550,-500,0,0,0,0,0,0,0,0,0,0,0,2.38714E+11,4.76565E+11,7.13565E+11,9.49729E+11,1.18507E+12,9.47136E+11,7.09668E+11,4.72661E+11,2.36112E+11,16466885.48,4586099155,9143784962,13689575748,18223522964,22745678023,22135976123,21528039838,20921862133,20317437178,19714757957,32640758998,45507930896,58316268798,71065771966,83756430014,96662826814,1.09471E+11,1.22279E+11,1.35088E+11,1.47896E+11,1.60705E+11,1.73513E+11,1.86321E+11,1.9913E+11,2.11938E+11
-500,-450,0,0,0,0,0,0,7967003675,15916277177,23848297768,31763529059,39662423848,36812727245,33973830497,31145567954,28327772773,25520285745,25629370480,25738315307,25847121201,25955788971,26064319559,39267579367,52436330182,65570720976,78670900800,91737018548,90966311481,90197805757,89431491979,88667365825,87905417936,99803817062,1.11647E+11,1.23436E+11,1.3517E+11,1.46849E+11,1.58729E+11,1.70517E+11,1.82306E+11,1.94095E+11,2.05883E+11,2.17672E+11,2.29461E+11,2.41249E+11,2.53038E+11,2.64827E+11
-450,-400,0,0,0,0,0,0,2.74267E+11,5.47924E+11,8.20987E+11,1.09347E+12,1.36539E+12,1.09032E+12,8.16263E+11,5.432E+11,2.71117E+11,0,31262464573,62464366149,93606140985,1.24688E+11,1.55711E+11,1.604E+11,1.65077E+11,1.69742E+11,1.74394E+11,1.79035E+11,1.75759E+11,1.72492E+11,1.69234E+11,1.65986E+11,1.62748E+11,1.29903E+11,97206640005,64657123902,32254909141,0,0,0,0,0,0,0,0,0,0,0
-400,-350,1.08604E+11,1.20276E+11,1.31823E+11,1.43246E+11,1.54382E+11,1.65373E+11,1.55027E+11,1.42421E+11,1.29845E+11,1.17299E+11,1.04782E+11,1.19052E+11,1.33271E+11,1.47441E+11,1.61563E+11,1.75636E+11,1.67671E+11,1.59723E+11,1.5179E+11,1.43873E+11,1.35971E+11,1.08634E+11,81369371294,54175450093,27052428253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
