Policy:,livestock measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
-1150,-1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1100,-1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1050,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1000,-950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-950,-900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-900,-850,0,0,0,0,0,0,0,0,0,0,0,10022059644,19939118033,29752724502,39464394702,49075618133,39135657494,29258455066,19443669615,9690962917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-850,-800,0,0,0,0,0,0,9525884104,18966709842,28324121934,37599722027,46795072918,37239035635,27782969021,18425400356,9164882599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-800,-750,0,8807203630,17614407261,26421610891,34993431309,43452380433,34644491030,25867363143,17168568950,8546603249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-750,-700,39047726554,31238181243,23428635932,15619090622,7757365415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-700,-650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-650,-600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-600,-550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-550,-500,1.44759E+12,1.45451E+12,1.46143E+12,1.46834E+12,1.46541E+12,1.46254E+12,1.45629E+12,1.44849E+12,1.44078E+12,1.43316E+12,1.42564E+12,1.41054E+12,1.39561E+12,1.38082E+12,1.36618E+12,1.35169E+12,1.07791E+12,8.05864E+11,5.35536E+11,2.66918E+11,0,0,0,0,0,0,0,0,0,0,0,10388858312,20657614204,30806508558,40835784640,50745681312,60954434336,71043615979,81132797623,91221979266,1.01311E+11,1.114E+11,1.2149E+11,1.31579E+11,1.41668E+11,1.51757E+11
-500,-450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10357426045,20622457449,30795366539,40876425934,50865905655,40458544418,30168509984,19995564117,9939472878,0,0,0,0,0,0,0,0,0,0,0
-450,-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10198382648,20318856005,30361727516,40327303531,50215889196,39993973404,29861690944,19818776483,9864967202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-400,-350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9936878304,19810592246,29621484515,39369894490,49056158554,39095201345,29209402388,19398465609,9662096099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-350,-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-300,-250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-250,-200,0,0,0,0,0,0,9150782031,18219855051,27208799017,36119152506,44952416777,45399979012,45842709897,46280683016,46713964259,47142624455,37594179640,28106021112,18677821076,9309254631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-200,-150,0,8460539608,16921079216,25381618824,33616040236,41742033129,33280834741,24849187053,16492789733,8210196827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-150,-100,37510657513,30008526011,22506394508,15004263005,7452005609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49949E+11,2.98753E+11,4.46416E+11,5.92942E+11,7.38337E+11,7.35211E+11,7.32091E+11,7.28976E+11,7.25866E+11,7.22761E+11,7.17565E+11,7.12386E+11,7.07224E+11,7.0208E+11,6.96953E+11,6.91783E+11,6.8663E+11,6.81478E+11,6.76325E+11,6.71172E+11,6.66019E+11,6.60866E+11,6.55713E+11,6.50561E+11,6.45408E+11
