Unit: dimensionless,Perc Fuel Use Reduction
agriculture and forestry 01T03,0.00001 
coal mining 05,0.00202 
oil and gas extraction 06,0.00001 
other mining and quarrying 07T08,0.00001 
food beverage and tobacco 10T12,0.00036 
textiles apparel and leather 13T15,0.08456 
wood products 16,0.00001 
pulp paper and printing 17T18,0.00042 
refined petroleum and coke 19,0.11300 
chemicals 20,0.06828 
rubber and plastic products 22,0.00001 
glass and glass products 231,0.09449 
cement and other nonmetallic minerals 239,0.51174 
iron and steel 241,0.25530 
other metals 242,0.06850 
metal products except machinery and vehicles 25,0.00001 
computers and electronics 26,0.02342 
appliances and electrical equipment 27,0.14964 
other machinery 28,0.00001 
road vehicles 29,0.15016 
nonroad vehicles 30,0.00001 
other manufacturing 31T33,0.13294 
energy pipelines and gas processing 352T353,0.00000 
water and waste 36T39,0.00000 
construction 41T43,0.00000 
