Unit: dimensionless,Perc Fuel Use Reduction
agriculture and forestry 01T03,0.00259 
coal mining 05,0.00505 
oil and gas extraction 06,0.00399 
other mining and quarrying 07T08,0.00599 
food beverage and tobacco 10T12,0.00411 
textiles apparel and leather 13T15,0.02725 
wood products 16,0.00489 
pulp paper and printing 17T18,0.00409 
refined petroleum and coke 19,0.00584 
chemicals 20,0.00751 
rubber and plastic products 22,0.00398 
glass and glass products 231,0.00183 
cement and other nonmetallic minerals 239,0.00711 
iron and steel 241,0.01500 
other metals 242,0.00402 
metal products except machinery and vehicles 25,0.00282 
computers and electronics 26,0.00132 
appliances and electrical equipment 27,0.00112 
other machinery 28,0.00285 
road vehicles 29,0.00291 
nonroad vehicles 30,0.16182 
other manufacturing 31T33,0.00257 
energy pipelines and gas processing 352T353,0.00044 
water and waste 36T39,0.00079 
construction 41T43,0.00217 
