Unit: 2012 USD,GDP
2019,1.38001E+13
2020,1.46526E+13
2021,1.55062E+13
2022,1.63611E+13
2023,1.72173E+13
2024,1.80666E+13
2025,1.89206E+13
2026,1.97683E+13
2027,2.06104E+13
2028,2.14519E+13
2029,2.22835E+13
2030,2.31104E+13
2031,2.39313E+13
2032,2.4741E+13
2033,2.55458E+13
2034,2.63409E+13
2035,2.71236E+13
2036,2.79009E+13
2037,2.86657E+13
2038,2.94241E+13
2039,3.01718E+13
2040,3.09066E+13
2041,3.16339E+13
2042,3.23512E+13
2043,3.30575E+13
2044,3.37536E+13
2045,3.44402E+13
2046,3.51187E+13
2047,3.5786E+13
2048,3.64424E+13
2049,3.70937E+13
2050,3.77337E+13
2051,3.83657E+13
2052,3.89899E+13
2053,3.96047E+13
2054,4.0214E+13
2055,4.08161E+13
2056,4.1412E+13
2057,4.20023E+13
2058,4.25867E+13
2059,4.3168E+13
2060,4.37442E+13
