Unit: dimensionless (% change),2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
ISIC 01T03,0.031,0.031,0.104201,0.149473241,0.196601644,0.238482701,0.281829596,0.504072531,0.647735473,0.714031388,0.779525606,0.868753414,0.907417594,0.969499474,1.030150206,1.089246572,1.136155679,1.20236071,1.256210881,1.308172053,1.358201571,1.406273197,1.452376879,1.496518385,1.538718848,1.579014214,1.617454615,1.654103697,1.689037899,1.722345707,1.754126911,1.784491852,1.813560701,1.841462763,1.868335823,1.894325559,1.919585002,1.944274083,1.968559257,1.992613219,2.016614713,2.040991928
ISIC 05,0.017196057,-0.016190312,0.092962379,0.209608008,0.250378683,0.288647606,0.325666979,0.366635972,0.41304631,0.45350267,0.488015277,0.516726552,0.539867363,0.55764852,0.570331362,0.578244866,0.581773397,0.581320375,0.577224593,0.569824136,0.559473385,0.546536416,0.531381044,0.514373604,0.495874498,0.476234541,0.455792106,0.434871022,0.413779212,0.39280801,0.372232092,0.352309986,0.333285082,0.315387109,0.298834018,0.28383424,0.270589304,0.259296778,0.250153555,0.243359492,0.239121433,0.237657676
ISIC 06,-0.000158946,-0.027798686,0.051723191,0.139156425,0.170190284,0.18816012,0.200871682,0.218753833,0.243762386,0.265339881,0.283149093,0.296877594,0.306341792,0.311787787,0.31360402,0.312214014,0.308065182,0.301579887,0.293032117,0.282661826,0.270710844,0.257419948,0.243026343,0.227761559,0.211849748,0.195506392,0.178937395,0.162338528,0.145895219,0.129782645,0.114166108,0.099201658,0.085036948,0.071812297,0.059661933,0.048715424,0.039099262,0.030938624,0.024359294,0.019489777,0.016463609,0.015421897
ISIC 07T08,0.008074929,-0.042488717,0.024576802,0.135292104,0.157178371,0.15453308,0.145426731,0.147842999,0.163479197,0.180600696,0.197108433,0.210796246,0.219794063,0.223886336,0.223328982,0.218431923,0.209547834,0.197066028,0.181416505,0.163044301,0.14239488,0.119905866,0.096000174,0.071080584,0.045525694,0.019687188,-0.006111693,-0.031576617,-0.056441691,-0.080468197,-0.103442676,-0.125174469,-0.145492835,-0.164243715,-0.181286217,-0.196488873,-0.20972566,-0.22087181,-0.229799356,-0.236372358,-0.240441722,-0.241839484
ISIC 09,0.008074929,-0.042488717,0.024576802,0.135292104,0.157178371,0.15453308,0.145426731,0.147842999,0.163479197,0.180600696,0.197108433,0.210796246,0.219794063,0.223886336,0.223328982,0.218431923,0.209547834,0.197066028,0.181416505,0.163044301,0.14239488,0.119905866,0.096000174,0.071080584,0.045525694,0.019687188,-0.006111693,-0.031576617,-0.056441691,-0.080468197,-0.103442676,-0.125174469,-0.145492835,-0.164243715,-0.181286217,-0.196488873,-0.20972566,-0.22087181,-0.229799356,-0.236372358,-0.240441722,-0.241839484
ISIC 10T12,0.00476824,-0.032595076,0.080165289,0.149188559,0.184120373,0.2122484,0.23992506,0.276410186,0.323395299,0.369445341,0.413581614,0.454755042,0.492055031,0.525340263,0.554723138,0.580379616,0.60254225,0.621457807,0.637271311,0.650119494,0.660161208,0.667573882,0.67255008,0.675294237,0.676019623,0.674945583,0.672295082,0.668292564,0.663162161,0.657126226,0.650404205,0.643211836,0.635760663,0.628257847,0.620906271,0.61390492,0.607449528,0.601733478,0.596948967,0.593288419,0.59094617,0.590120432
ISIC 13T15,-0.02292691,-0.079977814,0.004897809,0.010148042,0.032554922,0.036616296,0.034734013,0.040203972,0.054385699,0.067007916,0.076538704,0.081421179,0.080569398,0.074754548,0.065241999,0.053296431,0.040148098,0.026795482,0.013481137,0.000264592,-0.01279429,-0.025636501,-0.038204883,-0.050444888,-0.062305158,-0.073737893,-0.084699057,-0.095148422,-0.105049479,-0.114369233,-0.123077896,-0.131148505,-0.138556476,-0.145279095,-0.151294977,-0.156583477,-0.161124065,-0.164895668,-0.167875969,-0.170040643,-0.171362543,-0.171810792
ISIC 16,-0.013503029,-0.060383332,0.08677769,0.082515406,0.107979945,0.116408023,0.120631167,0.134763417,0.160548106,0.187005411,0.212539874,0.235421671,0.254146219,0.268516454,0.278721689,0.285005464,0.287656291,0.286984194,0.283269526,0.276798333,0.267870332,0.256793209,0.243877491,0.229432062,0.213760345,0.19715719,0.179906452,0.162279224,0.144532717,0.126909711,0.109638558,0.092933651,0.076996348,0.062016269,0.048172949,0.035637804,0.024576392,0.01515096,0.007523262,0.001857692,-0.001675271,-0.002895226
ISIC 17T18,-0.007707582,-0.047814833,0.087948511,0.105440331,0.137253599,0.159441662,0.178981294,0.205509754,0.240547901,0.273088883,0.302078087,0.326417465,0.345299748,0.359179082,0.368890227,0.375317707,0.379370707,0.38182516,0.382894728,0.382663381,0.381226689,0.378689658,0.375164638,0.370769356,0.365625107,0.359855127,0.35358316,0.346932237,0.340023679,0.332976302,0.325905847,0.31892461,0.312141271,0.305660907,0.299585187,0.294012733,0.289039634,0.284760121,0.281267383,0.278654535,0.277015734,0.276447453
ISIC 19,0.012375223,-0.025863957,0.022374111,-0.004837388,0.023245657,0.040686347,0.05243812,0.066134677,0.083697628,0.096607131,0.105382809,0.11061837,0.112862044,0.112305373,0.10906469,0.10327499,0.095087021,0.084681575,0.072316689,0.05826963,0.04281522,0.026222292,0.008750766,-0.009350658,-0.027846211,-0.04651421,-0.06514769,-0.083554569,-0.101557404,-0.118992773,-0.135710342,-0.151571664,-0.166448742,-0.180222395,-0.192780441,-0.204015731,-0.21382402,-0.222101689,-0.228743295,-0.233638925,-0.23667132,-0.23771272
