,ISIC 01T03,ISIC 05,ISIC 06,ISIC 07T08,ISIC 09,ISIC 10T12,ISIC 13T15,ISIC 16,ISIC 17T18,ISIC 19,ISIC 20,ISIC 21,ISIC 22,ISIC 231,ISIC 239,ISIC 241,ISIC 242,ISIC 25,ISIC 26,ISIC 27,ISIC 28,ISIC 29,ISIC 30,ISIC 31T33,ISIC 351,ISIC 352T353,ISIC 36T39,ISIC 41T43,ISIC 45T47,ISIC 49T53,ISIC 55T56,ISIC 58T60,ISIC 61,ISIC 62T63,ISIC 64T66,ISIC 68,ISIC 69T82,ISIC 84,ISIC 85,ISIC 86T88,ISIC 90T96,ISIC 97T98
ISIC 01T03,1.206265982,0.018643553,0.010806837,0.015895128,0.020744258,0.538570576,0.238756798,0.2264189,0.162586587,0.014598167,0.059191345,0.249889554,0.062452987,0.025474203,0.021872538,0.019020451,0.018794426,0.024528945,0.021050757,0.026930302,0.024481815,0.026165794,0.027880808,0.046567792,0.018342843,0.013580662,0.023533188,0.033579251,0.014793537,0.024035426,0.301128352,0.022994664,0.061032618,0.063140404,0.019303282,0.012635147,0.036404295,0.048985592,0.030373995,0.092674611,0.070247862,0.038837516
ISIC 05,0.009330516,1.186760883,0.017733969,0.038449173,0.028786527,0.01164919,0.022065472,0.022541595,0.028061745,0.076552146,0.069740648,0.016053802,0.034677943,0.022451999,0.091528644,0.072460187,0.041441799,0.040839409,0.014885014,0.026901072,0.025825605,0.020160417,0.022191765,0.013571003,0.219537008,0.050209094,0.037154686,0.035160682,0.005584315,0.016250619,0.009650204,0.007202246,0.011147581,0.016062852,0.003651241,0.003478085,0.012922918,0.009350532,0.007099556,0.00991549,0.009194343,0.011773947
ISIC 06,0.004694979,0.005109466,1.008178846,0.013463428,0.01617519,0.004600497,0.008893188,0.008952407,0.009131637,0.210336581,0.038428578,0.006370798,0.018131636,0.008395984,0.014578382,0.020933091,0.011173698,0.012177625,0.005202962,0.009268924,0.009224146,0.008204074,0.008968758,0.005783825,0.014154283,0.209555849,0.00608773,0.011979606,0.003715209,0.025145838,0.005609255,0.003055408,0.009285534,0.007784523,0.002344438,0.002118269,0.010810998,0.004753247,0.003562441,0.004077665,0.004697788,0.005852303
ISIC 07T08,0.002215746,0.009460584,0.00697985,1.044449951,0.020356603,0.002669064,0.004670084,0.008909978,0.012539737,0.004584744,0.019733359,0.004548742,0.011084044,0.026849745,0.062976636,0.151036351,0.143091345,0.062199775,0.014103575,0.042316062,0.036155953,0.025327918,0.029110685,0.010404805,0.006988405,0.002920645,0.004844296,0.037441986,0.001848944,0.004626759,0.002165625,0.002785388,0.005778514,0.007932116,0.001155818,0.001337564,0.006341329,0.002709311,0.00181533,0.002981322,0.002532633,0.004563729
ISIC 09,0.000867179,0.007885311,0.160185113,0.008121856,1.011705484,0.001309744,0.001615655,0.001645734,0.001724077,0.033888349,0.006686104,0.001177664,0.003186136,0.001647542,0.003247687,0.004626995,0.002860989,0.002570258,0.001018483,0.001902205,0.001854237,0.001590736,0.001749971,0.001077214,0.004071819,0.033600135,0.00129455,0.002350105,0.000646393,0.004138794,0.001113394,0.000562253,0.00160437,0.00141262,0.000412362,0.000374096,0.001853851,0.00085069,0.000641029,0.000751519,0.000864436,0.001053886
ISIC 10T12,0.121162649,0.016191187,0.011733614,0.020465269,0.020358689,1.291149515,0.075583381,0.047727851,0.041985614,0.020716956,0.067957792,0.0790481,0.038177074,0.031050647,0.022264547,0.023532258,0.027946676,0.028608391,0.027315773,0.033053697,0.032803836,0.026742837,0.034231301,0.020443858,0.025674342,0.019021434,0.031095953,0.026016942,0.015762339,0.030410004,0.379713813,0.024231767,0.058557096,0.0597236,0.020646117,0.014834662,0.040258986,0.040187702,0.044976306,0.04857664,0.105153941,0.048195471
ISIC 13T15,0.004844724,0.020448278,0.011560504,0.011014106,0.033560347,0.012952011,1.662471195,0.077964381,0.076182336,0.010734098,0.019120431,0.036947957,0.030199225,0.021373507,0.021208154,0.013800024,0.010690126,0.018952319,0.015217736,0.02048448,0.018731761,0.030671574,0.029226791,0.050070575,0.012645896,0.014384119,0.025850158,0.016821484,0.012047486,0.018131119,0.021181813,0.012548376,0.045180702,0.028960958,0.013538409,0.009092909,0.017109036,0.054171876,0.010788609,0.044852397,0.061654257,0.021788149
ISIC 16,0.002695478,0.027994077,0.004745306,0.006188805,0.005783504,0.006829669,0.008674754,1.426106604,0.211086605,0.004991488,0.009209107,0.009212112,0.010243044,0.009989497,0.013202977,0.006046566,0.005221485,0.020380274,0.007654833,0.010563455,0.009952681,0.022910127,0.013635996,0.015671568,0.008776143,0.003823403,0.004892005,0.035792266,0.005488195,0.007457476,0.005552878,0.012383898,0.021489617,0.007663051,0.006864112,0.004795668,0.00902294,0.014575867,0.007884727,0.005030544,0.016697565,0.008189958
ISIC 17T18,0.006973327,0.010782657,0.006981876,0.0105608,0.012078481,0.023967099,0.021116017,0.026771973,1.179595156,0.007824083,0.018089571,0.037675997,0.020315158,0.020068345,0.026862804,0.009566465,0.009550542,0.015909913,0.02004428,0.023971415,0.018150629,0.018336624,0.017234314,0.012707677,0.011453727,0.008276607,0.011437827,0.019255046,0.022216981,0.01875102,0.018314286,0.053647907,0.100118978,0.026777693,0.030784799,0.017021494,0.029524318,0.037353785,0.033389363,0.017894633,0.068349441,0.016910344
ISIC 19,0.017751128,0.020037427,0.023877149,0.059679823,0.06768641,0.017614545,0.032318289,0.034019094,0.033281184,1.071834041,0.125009747,0.024180658,0.059906735,0.031804243,0.059385171,0.097887122,0.043886057,0.048726369,0.020007531,0.03542543,0.035848451,0.031349247,0.033443577,0.020711715,0.034653388,0.038478207,0.019879158,0.05170642,0.015624374,0.105067237,0.017644174,0.012285474,0.040904478,0.030122443,0.010014049,0.007447257,0.047626626,0.019326274,0.013978581,0.015355445,0.0172331,0.019663846
