Unit: dimensionless (% of output purchased),government,domestic industries (MUST contain remainder),labor and consumers,foreign entities
agriculture and forestry 01T03,0.024059778,0.713886818,0.248407762,0.013645641
coal mining 05,0.006543619,0.987147372,0.005199583,0.001109425
oil and gas extraction 06,0.000448585,0.989473211,0,0.010078204
other mining and quarrying 07T08,0.000197558,0.982580178,0,0.017222264
food beverage and tobacco 10T12,0.022107036,0.462975419,0.486281969,0.028635576
textiles apparel and leather 13T15,0.038775802,0.541348101,0.173237116,0.246638982
wood products 16,0.01869477,0.727289427,0.085353128,0.168662675
pulp paper and printing 17T18,0.080422523,0.682546726,0.082792537,0.154238214
refined petroleum and coke 19,0.023871889,0.853879471,0.083206556,0.039042084
chemicals 20,0.034811601,0.861396395,0.026364637,0.077427367
rubber and plastic products 22,0.01353731,0.809067751,0.017925505,0.159469435
glass and glass products 231,0.002808591,0.942567783,0.007484879,0.047138746
cement and other nonmetallic minerals 239,0.001441841,0.834194069,0.011143144,0.153220946
iron and steel 241,0.000257458,0.959117132,0,0.04062541
other metals 242,0.000365518,0.965392515,0,0.034241967
metal products except machinery and vehicles 25,0.011905016,0.858679373,0.009394917,0.120020694
computers and electronics 26,0.021210286,0.552685781,0.056428527,0.369675406
appliances and electrical equipment 27,0.009484761,0.688551234,0.057508258,0.244455747
other machinery 28,0.002169967,0.821113681,0.003011323,0.173705029
road vehicles 29,0.017349952,0.728118024,0.209908797,0.044623227
nonroad vehicles 30,0.033274275,0.686703099,0.094369851,0.185652776
other manufacturing 31T33,0.183324617,0.341521179,0.220059085,0.255095119
energy pipelines and gas processing 352T353,0.024468334,0.559976864,0.415554801,0
water and waste 36T39,0.043416686,0.445323831,0.511259484,0
construction 41T43,0.005148021,0.991816967,0,0.003035012
