Unit: dimensionless (% of output purchased),ISIC 01T03,ISIC 05,ISIC 06,ISIC 07T08,ISIC 09,ISIC 10T12,ISIC 13T15,ISIC 16,ISIC 17T18,ISIC 19,ISIC 20,ISIC 21,ISIC 22,ISIC 231,ISIC 239,ISIC 241,ISIC 242,ISIC 25,ISIC 26,ISIC 27,ISIC 28,ISIC 29,ISIC 30,ISIC 31T33,ISIC 351,ISIC 352T353,ISIC 36T39,ISIC 41T43,ISIC 45T47,ISIC 49T53,ISIC 55T56,ISIC 58T60,ISIC 61,ISIC 62T63,ISIC 64T66,ISIC 68,ISIC 69T82,ISIC 84,ISIC 85,ISIC 86T88,ISIC 90T96,ISIC 97T98
agriculture and forestry 01T03,0.185578176,0.000206207,2.26091E-06,3.07714E-05,1.20131E-07,0.473827908,0.08310076,0.032400234,0.054453317,1.60153E-05,0.011667415,0.045420091,0.007783395,0.000221803,2.09025E-05,1.62117E-05,9.86106E-05,2.77778E-05,8.06014E-05,2.69851E-05,1.27335E-05,6.89824E-05,2.20461E-06,0.003497098,0.000103079,1.32828E-06,0,0.019085564,1.39524E-05,0.000156451,0.054575945,0.000516336,6.81778E-05,0.000341439,0.007461465,0.004286858,0.001165106,0.00229877,0.000620442,0.000613693,0.000484133,0.00964668
coal mining 05,0.002392972,0.143995374,0.000253689,0.006862555,0.000240674,0.008620483,0.00719677,0.001113971,0.01471122,0.087503868,0.086682591,0.001734157,0.002235796,0.135894084,0.08464249,0.013133508,0.001967653,0.001434624,0.001004285,0.000192173,0.000198481,0.000852046,7.98258E-05,0.000708288,0.373066964,0.009388351,0,0.003353786,0.000181219,0.000509448,0.000200572,0,6.84811E-05,0.00025179,2.55745E-07,0.00093286,0.000676458,0.001299596,0.002417314,0.001434833,0.000165504,0.002400992
oil and gas extraction 06,0,0.000176374,0.002128116,0.000125291,6.22581E-05,0,0,0,0.000235531,0.746737534,0.067125273,0.000106052,0.003270536,0.005420006,0.001479716,0.002990384,0.002332828,0.002243452,0.001480342,0.001690085,0.000571851,0.000270528,0,0,0.026768802,0.134436726,0,0,0,1.93919E-06,0,0,0,0,0,9.96448E-06,0,0,0,0.000137435,6.97917E-06,0.000191995
other mining and quarrying 07T08,7.16573E-06,0.000140563,6.38078E-05,0.037444835,0.000231223,0.000194019,6.49437E-05,4.38754E-05,0.002849813,0.00109192,0.042426402,0.000678629,0.000179355,0.158638773,0.411221338,0.243750893,0.020194152,0.000201326,0.000380402,0.000513713,0.000159674,0.00190919,0.000281065,0.000176202,0.000330957,0,0,0.074873178,0.000188024,0.000556626,1.24723E-05,2.70487E-07,2.32017E-06,1.17019E-06,5.21282E-06,0.001035671,1.20492E-05,1.15743E-05,9.20666E-06,3.17658E-06,1.68757E-05,9.79362E-05
food beverage and tobacco 10T12,0.158881237,0.000606934,0.000116502,0.001383445,2.27209E-05,0.366230611,0.020749519,0.001831998,0.004429456,0.004781794,0.036883131,0.011103675,0.001102579,0.002593612,0.005613484,0.006126933,0.004180876,0.006466074,0.003599768,0.003168738,0.001828367,0.006644122,0.010726254,0.000907997,0.007352529,0.000790507,0.000635107,0.008434377,0.003380244,0.011236491,0.187605585,0.008217472,0.004194699,0.006863673,0.024333291,0.007024167,0.004831504,0.011033947,0.018362265,0.010289304,0.014203748,0.011231264
textiles apparel and leather 13T15,0.000530066,0.003194077,0.000359356,0.000896621,0.0006216,0.007683337,0.654410143,0.016855815,0.043942581,0.00185521,0.007674322,0.008451679,0.006998123,0.008418577,0.001349077,0.00092672,0.004210086,0.004057057,0.0040749,0.011721287,0.002857864,0.006317942,0.006310277,0.008703505,0.001797413,0.000714221,0.000814507,0.009438664,0.006691745,0.010631002,0.007294949,0.002077458,0.009786051,0.004377474,0.034670825,0.005418239,0.003168889,0.005203316,0.003221293,0.019816114,0.009840027,0.052617594
wood products 16,0.001262721,0.013367692,0.000589281,0.000956365,2.37668E-05,0.003174709,0.003449801,0.307166983,0.338357824,0.000701206,0.004891372,0.000430797,0.002660964,0.007351317,0.0001843,0.000695842,0.018000476,0.003498765,0.002393152,0.022260535,0.002451655,0.004423607,0.00382979,0.00486597,0.000757649,1.50685E-05,1.24568E-05,0.215017423,0.001591229,0.003511545,0.000736295,0.00346473,0.001783132,0.002052595,0.002252772,0.000189911,0.001506534,0.002388415,0.001287851,0.00028221,0.001200966,0.014960327
pulp paper and printing 17T18,0.002856795,8.6535E-05,2.69854E-05,0.000877731,5.02528E-05,0.036805687,0.010025012,0.007000802,0.292931305,0.000995775,0.011312079,0.013669979,0.004964,0.02483265,0.000249078,0.000937688,0.005338822,0.005365221,0.005130243,0.004449102,0.000959928,0.015354832,0.014901057,0.00225029,0.001275897,3.64274E-05,5.89918E-05,0.01480046,0.024480708,0.012054405,0.004825821,0.076652442,0.055812779,0.01488873,0.193604665,0.007256891,0.01535633,0.00490112,0.035222993,0.000803338,0.0207612,0.055834951
refined petroleum and coke 19,0.012835926,0.001800868,0.001018188,0.019996496,0.002054976,0.002610037,0.002880695,0.002582513,0.004777988,0.058338689,0.164172679,0.001219598,0.00563246,0.051394865,0.108366803,0.018567792,0.007915302,0.005233434,0.002661527,0.002846095,0.001142905,0.002883857,0.002722689,0.002152036,0.026511733,0.004840528,9.89024E-05,0.095449914,0.008474874,0.247701485,0.002646208,0.002869997,0.009589777,0.003929661,0.049516111,0.003793706,0.031820036,0.003132189,0.007164074,0.000616415,0.001206263,0.014829708
chemicals 20,0.082263301,0.002951165,0.004275913,0.010543652,0.001350313,0.005495644,0.059145084,0.017575629,0.055629469,0.015893876,0.317389729,0.012931566,0.119465234,0.033887835,0.004074837,0.010120133,0.011528519,0.005040988,0.002430359,0.007551462,0.002294807,0.028686295,0.016739992,0.005510985,0.0002399,3.39021E-05,0.002668703,0.08144582,0.000109492,0.001070814,0.002711006,0.001319622,0.000326505,0.000367314,0.00466119,0.015647001,0.022045205,0.014650351,0.008144,0.00058381,0.001743929,0.009454647
