,ISIC 01T03,ISIC 05,ISIC 06,ISIC 07T08,ISIC 09,ISIC 10T12,ISIC 13T15,ISIC 16,ISIC 17T18,ISIC 19,ISIC 20,ISIC 21,ISIC 22,ISIC 231,ISIC 239,ISIC 241,ISIC 242,ISIC 25,ISIC 26,ISIC 27,ISIC 28,ISIC 29,ISIC 30,ISIC 31T33,ISIC 351,ISIC 352T353,ISIC 36T39,ISIC 41T43,ISIC 45T47,ISIC 49T53,ISIC 55T56,ISIC 58T60,ISIC 61,ISIC 62T63,ISIC 64T66,ISIC 68,ISIC 69T82,ISIC 84,ISIC 85,ISIC 86T88,ISIC 90T96,ISIC 97T98
ISIC 01T03,1.22565854,0.023559092,0.014751492,0.02152991,0.0283824,0.584833533,0.269772908,0.251796621,0.184105164,0.022937592,0.074322317,0.279310682,0.077336235,0.035657533,0.029236301,0.026683725,0.027258713,0.032528,0.037143497,0.038195431,0.034200175,0.035812155,0.038565796,0.054058889,0.024300217,0.021131923,0.029579206,0.041955053,0.018500472,0.030755243,0.336383092,0.029672795,0.073367397,0.075770205,0.023510852,0.015351373,0.046892457,0.057680316,0.036481478,0.114522846,0.083409292,0.047114465
ISIC 05,0.012263527,1.203252159,0.021700303,0.045768593,0.036422532,0.014892572,0.028872314,0.028949627,0.035616558,0.090807049,0.084794108,0.020690591,0.046729087,0.030898158,0.104349519,0.086523235,0.054482608,0.050775342,0.026584964,0.037669023,0.034953093,0.027957132,0.031076815,0.01770117,0.239339242,0.061486736,0.042707877,0.043311912,0.007162237,0.020752664,0.012460935,0.010160539,0.015116843,0.021724868,0.004746751,0.004370042,0.018464815,0.011856017,0.00895765,0.01337113,0.011882575,0.015696975
ISIC 06,0.014085404,0.014908482,1.022602592,0.037590891,0.045293447,0.013939132,0.027604869,0.027116274,0.028130431,0.507655285,0.104984312,0.019412976,0.055323549,0.02666933,0.041394469,0.059355345,0.035675534,0.035948435,0.021953817,0.030529926,0.028964956,0.025999294,0.028553745,0.017255845,0.03731705,0.503894456,0.017866332,0.034627475,0.010450677,0.065485947,0.015975981,0.009810785,0.026148238,0.023672985,0.006661053,0.005855446,0.031235964,0.013620423,0.010159817,0.0128126,0.013669038,0.017448778
ISIC 07T08,0.005445747,0.019732057,0.015144012,1.081712059,0.042060989,0.006457516,0.011563744,0.019619057,0.027451742,0.014334857,0.041043748,0.010570187,0.02578787,0.058681726,0.115744741,0.272630701,0.269930329,0.120893205,0.041619012,0.091445285,0.076908824,0.055278666,0.063832139,0.022642095,0.016943741,0.010844151,0.011043816,0.072368215,0.004608493,0.011519083,0.005434399,0.0081509,0.013769883,0.018983593,0.002868532,0.003018019,1.66E-02,0.006532933,0.004451753,0.007630691,0.006239683,0.011458875
ISIC 09,0.00239954,0.009597747,0.162546085,0.012204154,1.016498044,0.002845525,0.004673093,0.004632916,0.00487402,0.081227331,0.017467737,0.003316225,0.009252046,0.004782018,0.007875563,0.011483705,0.00753349,0.006731634,0.003914106,0.00562146,0.005274719,0.004634126,0.005111545,0.002994001,0.007924836,0.080437639,0.003235109,0.006191089,0.001742165,0.010611104,0.002809063,0.001685951,0.004354715,0.004036622,0.001115509,0.000983218,0.005192774,0.002298067,0.001717046,0.002190336,0.002331265,0.002961058
ISIC 10T12,0.135502079,0.020666157,0.015837466,0.026551669,0.028102799,1.322786762,0.091532381,0.059221673,0.053208219,0.029661537,0.083841317,0.093912325,0.051758227,0.04214097,0.029622798,0.031976548,0.037925157,0.037041519,0.046108761,0.045466909,0.043668361,0.036473124,0.0457994,0.026101113,0.032126626,0.027050439,0.037380791,0.03388341,0.019310667,0.037433364,0.41739052,0.030716552,0.069644707,0.072207311,0.024623961,0.017445059,0.051215624,0.047709373,0.051484176,0.059988019,0.118930765,0.056871849
ISIC 13T15,0.006413714,0.023972723,0.014079454,0.014123903,0.039515064,0.015701141,1.724727227,0.088733187,0.087177626,0.016912736,0.024886546,0.043210575,0.03692343,0.027730418,0.02587837,0.018506297,0.015286225,0.023633354,0.025342129,0.02702991,0.024563475,0.037780877,0.036362908,0.056343559,0.016173712,0.020574172,0.02968631,0.021124887,0.014235517,0.022064728,0.024613086,0.016044987,0.052050757,0.034558747,0.015655543,0.010546411,0.022007629,0.060539027,0.01282199,0.051970084,0.069186224,0.025812269
ISIC 16,0.003516209,0.030944307,0.005874067,0.007819189,0.007771843,0.008374938,0.010901666,1.454873959,0.228681222,0.007762046,0.012033535,0.011499217,0.013072337,0.013134726,0.015887324,0.008386795,0.007582684,0.023415917,0.01283323,0.013930749,0.012955606,0.027049631,0.016987682,0.017694452,0.010918059,0.006343632,0.006126742,0.039720841,0.006675648,0.009340881,0.006918318,0.015102259,0.025572837,0.009984083,0.008141087,0.005638506,0.01165277,0.016725581,0.009343749,0.006717234,0.019573782,0.009975601
ISIC 17T18,0.008770616,0.013274628,0.009063206,0.013493201,0.015975417,0.027826361,0.025873808,0.031704816,1.197575702,0.012264029,0.023312511,0.043907272,0.025733607,0.026422601,0.03170193,0.01354476,0.013787743,0.020025729,0.032465082,0.030964462,0.023978574,0.023845519,0.023262431,0.015478687,0.014835027,0.012523264,0.01394893,0.02362354,0.025410536,0.022532138,0.021745813,0.061133919,0.111236267,0.032352966,0.034397483,0.019224844,0.03581304,0.04207199,0.037254531,0.022640048,0.076074541,0.020539655
ISIC 19,0.022522045,0.024913815,0.029315901,0.069863495,0.079840555,0.022636784,0.04275625,0.043678833,0.043831059,1.087909734,0.148098344,0.031275208,0.079195991,0.043457513,0.07157829,0.116252578,0.060366652,0.061479251,0.035973743,0.049939058,0.04821949,0.042539384,0.045886865,0.026644803,0.041345712,0.051098226,0.025467178,0.062753508,0.018561796,0.116275329,0.022162184,0.016644954,0.048209454,0.038793995,0.011951677,0.008921133,0.057299607,0.023361747,0.016901887,0.020606113,0.021503639,0.025570744
ISIC 20,0.124755668,0.051854363,0.095790347,0.116014754,0.163534358,0.086571799,0.252956539,0.208550532,0.230754542,0.121298722,1.590076406,0.136127238,0.626505324,0.088287866,0.133520134,0.074481262,0.097297,0.098016256,0.115423293,0.162209399,0.089363036,0.107298792,0.118451664,0.099059343,0.043553688,0.060980285,0.134591628,0.119585328,0.020699686,0.048026435,0.063986619,0.035912108,0.065268684,0.150795181,0.017140544,0.013123327,0.118466131,0.051867292,0.042996126,0.063689843,0.060183839,0.107539332
ISIC 21,0.00766666,0.001293342,0.000952388,0.001182654,0.001387382,0.004968212,0.002905604,0.002547509,0.003599522,0.001889295,0.004089076,1.262500637,0.00258253,0.003221773,0.00243907,0.001550706,0.001167342,0.001916488,0.002520343,0.00195139,0.001679897,0.001501393,0.001904549,0.001967949,0.001238174,0.001021543,0.001487461,0.00321836,0.000613743,0.001266922,0.002727679,0.001232329,0.001474306,0.00761539,0.000586982,0.000346094,0.008523173,0.002389105,0.002470237,0.416449548,0.001446166,0.001799799
ISIC 22,0.018294565,0.014111786,0.017794311,0.019500001,0.065447989,0.028277373,0.048285154,0.044621667,0.061709074,0.019639854,0.052196911,0.024071657,1.25743445,0.061521321,0.028951906,0.016908872,0.016851914,0.030570714,0.065109825,0.079281841,0.046997032,0.082648503,0.079990228,0.038788234,0.016459054,0.013918148,0.033348867,0.035910813,0.009916401,0.029127001,0.018522202,0.01524356,0.024311997,0.026181962,0.005529797,0.00453771,0.024917457,0.013940966,0.00739199,0.015859873,0.015239927,0.026659681
ISIC 231,0.012764206,0.031274648,0.051874649,0.042020292,0.114174475,0.008729991,0.011244798,0.013892688,0.0156497,0.032034502,0.019196685,0.008200169,0.016298891,1.160515378,0.019167916,0.028979575,0.027570263,0.024913598,0.051674568,0.026523702,0.02778557,0.02333794,0.025798854,0.011835976,0.013605824,0.028281188,0.008831682,0.020466405,0.003042229,0.010064865,0.00653446,0.006788675,0.008665682,0.010406306,0.002935687,0.001789236,0.011838395,0.004778849,0.003385086,0.043294377,0.004672569,0.007593861
ISIC 239,0.004435841,0.011244709,0.012525116,0.01929487,0.050934083,0.010398436,0.008526861,0.020998984,0.016959042,0.018048267,0.018322613,0.019801863,0.01800253,0.034786458,1.244544211,0.032326253,0.032206482,0.035359602,0.054665099,0.061214256,0.029046795,0.041549797,0.029167217,0.01148807,0.017663401,0.008888036,0.007878117,0.217291872,0.004156116,0.009653594,0.007230785,0.008249827,0.010064728,0.024313802,0.002865137,0.004647484,0.013659397,0.008340626,0.007224798,0.010746389,0.006346567,0.009144698
ISIC 241,0.006199636,0.061129607,0.038072337,0.028600229,0.104171154,0.008681336,0.013426206,0.038357478,0.031881288,0.028051082,0.021058861,0.011577559,0.026640079,0.142174341,0.057075274,1.254978625,0.029007609,0.323526994,0.045327182,0.080242685,0.17619939,0.100876259,0.125384764,0.028694542,0.026650975,0.026367461,0.018821252,0.16423307,0.006794699,0.020617301,0.007667328,0.010426688,0.0234937,0.023561638,0.004548038,0.005634937,0.025305562,0.010024487,0.006227005,0.011813083,0.00886603,0.016541198
ISIC 242,0.009417785,0.026618196,0.022011109,0.032147654,0.056093371,0.012681859,0.020902245,0.034891418,0.082937523,0.020983104,0.047088081,0.01850869,0.045632081,0.14597622,0.051228703,0.0558958,1.625066967,0.211520391,0.156131685,0.407855932,0.219060061,0.175570226,0.199198028,0.082624736,0.052898591,0.018237325,0.022506149,0.059631743,0.013876855,0.030985322,0.011834956,0.027208372,0.037797024,0.045606702,0.007548482,0.006166087,0.046165815,0.015434311,0.009991615,0.016487482,0.015210677,0.031050466
ISIC 25,0.006830634,0.052507281,0.016697389,0.040598724,0.055829788,0.012710769,0.017905018,0.051897205,0.039617024,0.017325513,0.022959793,0.018438141,0.036141439,0.088043046,0.051939029,0.026162936,0.023543513,1.176213735,0.058426119,0.077586246,0.100387092,0.06178987,0.081905458,0.031239223,0.024443072,0.014793072,0.035497856,0.082703419,0.010085569,0.018877698,0.010335291,0.014980023,0.048436281,0.047481733,0.006604018,0.007468546,0.05275584,0.012617482,0.007929582,0.012849632,0.011808903,0.025919509
ISIC 26,0.014850408,0.034076814,0.048779459,0.037967825,0.086620952,0.02072511,0.029945085,0.031331106,0.043417793,0.043421602,0.041598381,0.032370002,0.04333376,0.22643117,0.039904296,0.042665315,0.03648312,0.046123026,2.099878235,0.234072672,0.176858154,0.124866853,0.207290365,0.055074155,0.114351202,0.042173667,0.03911499,0.071301598,0.034422514,0.053965929,0.025722585,0.174480708,0.084748968,0.19230212,0.019745504,0.013479313,0.256258199,0.044005496,0.038061474,0.035508925,0.038467767,0.114698824
ISIC 27,0.00781115,0.0226431,0.018465633,0.028922191,0.033455195,0.011145264,0.017230126,0.019696089,0.022739079,0.018815824,0.024838324,0.015360856,0.025177616,0.103538796,0.026710748,0.028003346,0.026890987,0.030819792,0.141569334,1.239669186,0.118693877,0.073255551,0.190059743,0.032138245,0.12213514,0.01871616,0.026887782,0.065563207,0.02156784,0.027007111,0.012316789,0.035743565,0.035237565,0.063640809,0.006758477,0.005768379,0.054189664,0.016757218,0.008138805,0.015548305,0.012523547,0.032581015
