Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
CO2 (g),-1.34263E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15,-1.3465E+15
VOCs (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOx (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM10 (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM25 (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOx (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4 (g),1.398E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12,1.11E+12
N2O (g),0,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9,149108565.9
F gases (g CO2e),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
